,word data,ocr data,conf,check,ocr time
0,T,T,96,0,172.2984669
1,H,H,96,0,
2,E,E,96,0,
3,2,2,96,0,
4,0,0,96,0,
5,1,1,96,0,
6,9,9,96,0,
7,2,2,96,0,
8,0,0,96,0,
9,B,B,95,0,
10,U,U,95,0,
11,D,D,95,0,
12,G,G,95,0,
13,E,E,95,0,
14,T,T,95,0,
15,S,S,96,0,
16,p,p,96,0,
17,e,e,96,0,
18,e,e,96,0,
19,c,c,96,0,
20,h,h,96,0,
21,b,b,96,0,
22,y,y,96,0,
23,t,t,96,0,
24,h,h,96,0,
25,e,e,96,0,
26,F,F,96,0,
27,i,i,96,0,
28,n,n,96,0,
29,a,a,96,0,
30,n,n,96,0,
31,c,c,96,0,
32,i,i,96,0,
33,a,a,96,0,
34,l,l,96,0,
35,S,S,96,0,
36,e,e,96,0,
37,c,c,96,0,
38,r,r,96,0,
39,e,e,96,0,
40,t,t,96,0,
41,a,a,96,0,
42,r,r,96,0,
43,y,y,96,0,
44,",",",",96,0,
45,t,t,96,0,
46,h,h,96,0,
47,e,e,96,0,
48,H,H,96,0,
49,o,o,96,0,
50,n,n,96,0,
51,P,P,95,0,
52,a,a,95,0,
53,u,u,95,0,
54,l,l,95,0,
55,M,M,95,0,
56,P,P,95,0,
57,C,C,96,0,
58,h,h,96,0,
59,a,a,96,0,
60,n,n,96,0,
61,m,m,95,0,
62,o,o,95,0,
63,v,v,95,0,
64,i,i,95,0,
65,n,n,95,0,
66,g,g,95,0,
67,t,t,95,0,
68,h,h,95,0,
69,e,e,95,0,
70,S,S,96,0,
71,e,e,96,0,
72,c,c,96,0,
73,o,o,96,0,
74,n,n,96,0,
75,d,d,96,0,
76,R,R,96,0,
77,e,e,96,0,
78,a,a,96,0,
79,d,d,96,0,
80,i,i,96,0,
81,n,n,96,0,
82,g,g,96,0,
83,o,o,96,0,
84,f,f,96,0,
85,t,t,96,0,
86,h,h,96,0,
87,e,e,96,0,
88,A,A,96,0,
89,p,p,96,0,
90,p,p,96,0,
91,r,r,96,0,
92,o,o,96,0,
93,p,p,96,0,
94,r,r,96,0,
95,i,i,96,0,
96,a,a,96,0,
97,t,t,96,0,
98,i,i,96,0,
99,o,o,96,0,
100,n,n,96,0,
101,B,B,96,0,
102,i,i,96,0,
103,l,l,96,0,
104,l,l,96,0,
105,2,2,96,0,
106,0,0,96,0,
107,1,1,96,0,
108,9,9,96,0,
109,W,W,95,0,
110,e,e,95,0,
111,d,d,95,0,
112,n,n,95,0,
113,e,e,95,0,
114,s,s,95,0,
115,d,d,95,0,
116,a,a,95,0,
117,y,y,95,0,
118,",",",",95,0,
119,2,2,95,0,
120,7,7,95,0,
121,F,F,96,0,
122,e,e,96,0,
123,b,b,96,0,
124,r,r,96,0,
125,u,u,96,0,
126,a,a,96,0,
127,r,r,96,0,
128,y,y,96,0,
129,2,2,96,0,
130,0,0,96,0,
131,1,1,96,0,
132,9,9,96,0,
133,C,C,96,0,
134,o,o,96,0,
135,n,n,96,0,
136,t,t,96,0,
137,e,e,96,0,
138,n,n,96,0,
139,t,t,96,0,
140,s,s,96,0,
141,P,P,96,0,
142,a,a,96,0,
143,r,r,96,0,
144,a,a,96,0,
145,g,g,96,0,
