,word data,ocr data,conf,check,ocr time
0,N,N,96,0,10.06031489
1,O,O,96,0,
2,T,T,96,0,
3,I,I,96,0,
4,C,C,96,0,
5,E,E,96,0,
6,O,O,96,0,
7,F,F,96,0,
8,C,C,96,0,
9,H,H,96,0,
10,A,A,96,0,
11,N,N,96,0,
12,G,G,96,0,
13,E,E,96,0,
14,O,O,96,0,
15,F,F,96,0,
16,C,C,96,0,
17,O,O,96,0,
18,M,M,96,0,
19,P,P,96,0,
20,A,A,96,0,
21,N,N,96,0,
22,Y,Y,96,0,
23,S,S,96,0,
24,E,E,96,0,
25,C,C,96,0,
26,R,R,96,0,
27,E,E,96,0,
28,T,T,96,0,
29,A,A,96,0,
30,R,R,96,0,
31,Y,Y,96,0,
32,A,A,96,0,
33,N,N,96,0,
34,D,D,96,0,
35,D,D,96,0,
36,I,I,96,0,
37,R,R,96,0,
38,E,E,96,0,
39,C,C,96,0,
40,T,T,96,0,
41,O,O,96,0,
42,R,R,96,0,
43,(,(,84,0,
44,A,A,84,0,
45,P,P,84,0,
46,P,P,84,0,
47,O,O,84,0,
48,I,I,84,0,
49,N,N,84,0,
50,T,T,84,0,
51,M,M,84,0,
52,E,E,84,0,
53,N,N,84,0,
54,T,T,84,0,
55,C,C,96,0,
56,E,E,96,0,
57,S,S,96,0,
58,S,S,96,0,
59,A,A,96,0,
60,T,T,96,0,
61,I,I,96,0,
62,O,O,96,0,
63,N,N,96,0,
64,),),96,0,
65,F,F,96,0,
66,o,o,96,0,
67,r,r,96,0,
68,t,t,96,0,
69,h,h,96,0,
70,e,e,96,0,
71,p,p,96,0,
72,u,u,96,0,
73,r,r,96,0,
74,p,p,96,0,
75,o,o,96,0,
76,s,s,96,0,
77,e,e,96,0,
78,s,s,96,0,
79,o,o,96,0,
80,f,f,96,0,
81,s,s,93,0,
82,e,e,93,0,
83,c,c,93,0,
84,t,t,93,0,
85,i,i,93,0,
86,o,o,93,0,
87,n,n,93,0,
88,s,s,93,0,
89,6,6,92,0,
90,4,4,92,0,
91,5,5,92,0,
92,(,(,92,0,
93,1,1,92,0,
94,),),92,0,
95,",",",",92,0,
96,6,6,92,0,
97,4,4,92,0,
98,5,5,92,0,
99,(,(,92,0,
100,4,4,92,0,
101,),),92,0,
102,",",",",92,0,
103,6,6,92,0,
104,5,5,92,0,
105,2,2,92,0,
106,(,(,92,0,
107,1,1,92,0,
108,),),92,0,
109,a,a,92,0,
110,n,n,92,0,
111,d,d,92,0,
112,6,6,92,0,
113,5,5,92,0,
114,2,2,92,0,
115,(,(,92,0,
116,2,2,92,0,
117,),),92,0,
118,o,o,94,0,
119,f,f,94,0,
120,C,C,96,0,
121,o,o,96,0,
122,m,m,96,0,
123,p,p,96,0,
124,a,a,96,0,
125,n,n,96,0,
126,i,i,96,0,
127,e,e,96,0,
128,s,s,96,0,
129,O,O,96,0,
130,r,r,96,0,
131,d,d,96,0,
132,i,i,96,0,
133,n,n,96,0,
134,a,a,96,0,
135,n,n,96,0,
136,c,c,96,0,
137,e,e,96,0,
138,(,(,96,0,
139,C,C,96,0,
140,a,a,96,0,
141,p,p,96,0,
142,6,6,96,0,
143,2,2,96,0,
144,2,2,96,0,
145,),),96,0,
146,N,N,96,0,
147,o,o,96,0,
148,t,t,96,0,
149,e,e,96,0,
150,s,s,96,0,
151,f,f,96,0,
152,o,o,96,0,
153,r,r,96,0,
154,C,C,96,0,
155,o,o,96,0,
156,m,m,96,0,
157,p,p,96,0,
158,l,l,96,0,
159,e,e,96,0,
160,t,t,96,0,
161,i,i,96,0,
162,o,o,96,0,
163,n,n,96,0,
164,o,o,96,0,
165,f,f,96,0,
166,F,F,91,0,
167,o,o,91,0,
168,r,r,91,0,
169,m,m,91,0,
170,N,N,90,0,
171,D,D,90,0,
172,2,2,90,0,
173,A,A,90,0,
174,I,I,96,0,
175,n,n,96,0,
176,t,t,96,0,
177,r,r,96,0,
178,o,o,96,0,
179,d,d,96,0,
180,u,u,96,0,
181,c,c,96,0,
182,t,t,96,0,
183,i,i,96,0,
184,o,o,96,0,
185,n,n,96,0,
186,1,,73,1,
187,(,(,73,0,
188,a,a,73,0,
189,),),73,0,
190,T,T,73,0,
191,h,h,73,0,
192,i,i,73,0,
193,s,s,96,0,
194,f,f,96,0,
195,o,o,96,0,
196,r,r,96,0,
197,m,m,96,0,
198,s,s,96,0,
199,h,h,96,0,
200,o,o,96,0,
201,u,u,96,0,
202,l,l,96,0,
203,d,d,96,0,
204,b,b,96,0,
205,e,e,96,0,
206,u,u,96,0,
207,s,s,96,0,
208,e,e,96,0,
209,d,d,97,0,
210,t,t,97,0,
211,o,o,96,0,
212,n,n,96,0,
213,o,o,96,0,
214,t,t,96,0,
215,i,i,96,0,
216,f,f,96,0,
217,y,y,96,0,
218,t,t,96,0,
219,h,h,96,0,
220,e,e,96,0,
221,R,R,96,0,
222,e,e,96,0,
223,g,g,96,0,
224,i,i,96,0,
225,s,s,96,0,
226,t,t,96,0,
227,r,r,96,0,
228,a,a,96,0,
229,r,r,96,0,
230,o,o,96,0,
231,f,f,96,0,
232,C,C,96,0,
233,o,o,96,0,
234,m,m,96,0,
235,p,p,96,0,
236,a,a,96,0,
237,n,n,96,0,
238,i,i,96,0,
239,e,e,96,0,
240,s,s,96,0,
241,(,(,96,0,
242,t,t,96,0,
243,h,h,96,0,
244,e,e,96,0,
245,R,R,96,0,
246,e,e,96,0,
247,g,g,96,0,
248,i,i,96,0,
249,s,s,96,0,
250,t,t,96,0,
251,r,r,96,0,
252,a,a,96,0,
253,r,r,96,0,
254,),),96,0,
255,o,o,96,0,
256,f,f,96,0,
257,t,t,96,0,
258,h,h,96,0,
259,e,e,96,0,
260,a,a,96,0,
261,p,p,96,0,
262,p,p,96,0,
263,o,o,96,0,
264,i,i,96,0,
265,n,n,96,0,
266,t,t,96,0,
267,m,m,96,0,
268,e,e,96,0,
269,n,n,96,0,
270,t,t,95,0,
271,o,o,95,0,
272,f,f,95,0,
273,a,a,96,0,
274,c,c,96,0,
275,o,o,96,0,
276,m,m,96,0,
277,p,p,96,0,
278,a,a,96,0,
279,n,n,96,0,
280,y,y,96,0,
281,s,s,96,0,
282,e,e,96,0,
283,c,c,96,0,
284,r,r,96,0,
285,e,e,96,0,
286,t,t,96,0,
287,a,a,96,0,
288,r,r,96,0,
289,y,y,96,0,
290,o,o,96,0,
291,r,r,96,0,
292,j,j,96,0,
293,o,o,96,0,
294,i,i,96,0,
295,n,n,96,0,
296,t,t,96,0,
297,c,c,96,0,
298,o,o,96,0,
299,m,m,96,0,
300,p,p,96,0,
301,a,a,96,0,
302,n,n,96,0,
303,y,y,96,0,
304,s,s,96,0,
305,e,e,96,0,
306,c,c,96,0,
307,r,r,96,0,
308,e,e,96,0,
309,t,t,96,0,
310,a,a,96,0,
311,r,r,96,0,
312,i,i,96,0,
313,e,e,96,0,
314,s,s,95,0,
315,(,(,95,0,
316,c,c,95,0,
317,o,o,95,0,
318,m,m,95,0,
319,p,p,95,0,
320,a,a,95,0,
321,n,n,95,0,
322,y,y,96,0,
323,s,s,96,0,
324,e,e,96,0,
325,c,c,96,0,
326,r,r,96,0,
327,e,e,96,0,
328,t,t,96,0,
329,a,a,96,0,
330,r,r,96,0,
331,y,y,96,0,
332,),),96,0,
333,o,o,96,0,
334,r,r,96,0,
335,d,d,96,0,
336,i,i,96,0,
337,r,r,96,0,
338,e,e,96,0,
339,c,c,96,0,
340,t,t,96,0,
341,o,o,96,0,
342,r,r,96,0,
343,(,(,96,0,
344,i,i,96,0,
345,n,n,96,0,
346,c,c,96,0,
347,l,l,96,0,
348,u,u,96,0,
349,d,d,96,0,
350,i,i,96,0,
351,n,n,96,0,
352,g,g,96,0,
353,t,t,96,0,
354,h,h,96,0,
355,e,e,96,0,
356,a,a,96,0,
357,p,p,96,0,
358,p,p,96,0,
359,o,o,96,0,
360,i,i,96,0,
361,n,n,96,0,
362,t,t,96,0,
363,m,m,96,0,
364,e,e,96,0,
365,n,n,96,0,
366,t,t,96,0,
367,o,o,96,0,
368,f,f,95,0,
369,a,a,95,0,
370,n,n,95,0,
371,a,a,95,0,
372,l,l,95,0,
373,t,t,95,0,
374,e,e,95,0,
375,r,r,95,0,
376,n,n,95,0,
377,a,a,95,0,
378,t,t,95,0,
379,e,e,96,0,
380,d,d,96,0,
381,i,i,96,0,
382,r,r,96,0,
383,e,e,96,0,
384,c,c,96,0,
385,t,t,96,0,
386,o,o,96,0,
387,r,r,96,0,
388,b,b,96,0,
389,u,u,96,0,
390,t,t,96,0,
391,e,e,96,0,
392,x,x,96,0,
393,c,c,96,0,
394,l,l,96,0,
395,u,u,96,0,
396,d,d,96,0,
397,i,i,96,0,
398,n,n,96,0,
399,g,g,96,0,
400,t,t,96,0,
401,h,h,96,0,
402,e,e,96,0,
403,n,n,96,0,
404,o,o,96,0,
405,m,m,96,0,
406,i,i,96,0,
407,n,n,96,0,
408,a,a,96,0,
409,t,t,96,0,
410,i,i,96,0,
411,o,o,96,0,
412,n,n,96,0,
413,o,o,96,0,
414,f,f,96,0,
415,a,a,96,0,
416,r,r,96,0,
417,e,e,96,0,
418,s,s,96,0,
419,e,e,96,0,
420,r,r,96,0,
421,v,v,96,0,
422,e,e,96,0,
423,d,d,96,0,
424,i,i,96,0,
425,r,r,96,0,
426,e,e,96,0,
427,c,c,96,0,
428,t,t,96,0,
429,o,o,96,0,
430,r,r,96,0,
431,),),96,0,
432,o,o,96,0,
433,f,f,96,0,
434,a,a,96,0,
435,c,c,96,0,
436,o,o,96,0,
437,m,m,96,0,
438,p,p,96,0,
439,a,a,96,0,
440,n,n,96,0,
441,y,y,95,0,
442,i,i,95,0,
443,n,n,95,0,
444,c,c,95,0,
445,o,o,95,0,
446,r,r,95,0,
447,p,p,95,0,
448,o,o,95,0,
449,r,r,95,0,
450,a,a,95,0,
451,t,t,95,0,
452,e,e,95,0,
453,d,d,96,0,
454,i,i,96,0,
455,n,n,96,0,
456,H,H,96,0,
457,o,o,96,0,
458,n,n,96,0,
459,g,g,91,0,
460,K,K,91,0,
461,o,o,91,0,
462,n,n,91,0,
463,g,g,91,0,
464,T,T,91,0,
465,h,h,91,0,
466,i,i,91,0,
467,s,s,95,0,
468,f,f,95,0,
469,o,o,95,0,
470,r,r,95,0,
471,m,m,95,0,
472,s,s,95,0,
473,h,h,95,0,
474,o,o,95,0,
475,u,u,95,0,
476,l,l,95,0,
477,d,d,96,0,
478,a,a,96,0,
479,l,l,96,0,
480,s,s,96,0,
481,o,o,96,0,
482,b,b,96,0,
483,e,e,96,0,
484,u,u,96,0,
485,s,s,96,0,
486,e,e,96,0,
487,d,d,96,0,
488,t,t,96,0,
489,o,o,96,0,
490,n,n,96,0,
491,o,o,96,0,
492,t,t,96,0,
493,i,i,96,0,
494,f,f,96,0,
495,y,y,96,0,
496,t,t,96,0,
497,h,h,96,0,
498,e,e,96,0,
499,R,R,96,0,
500,e,e,96,0,
501,g,g,96,0,
502,i,i,96,0,
503,s,s,96,0,
504,t,t,96,0,
505,r,r,96,0,
506,a,a,96,0,
507,r,r,96,0,
508,o,o,96,0,
509,f,f,96,0,
510,a,a,96,0,
511,c,c,96,0,
