,word data,ocr data,conf,check,ocr time,
264,s,s,96,0,,
265,t,t,96,0,,
266,s,s,96,0,,
267,t,t,96,0,,
268,a,a,96,0,,
269,t,t,96,0,,
270,i,i,96,0,,
271,o,o,96,0,,
272,n,n,96,0,,
273,a,a,96,0,,
274,n,n,96,0,,
275,d,d,96,0,,
276,c,c,96,0,,
277,h,h,96,0,,
278,a,a,96,0,,
279,n,n,96,0,,
280,n,n,96,0,,
281,e,e,96,0,,
282,l,l,96,0,,
283,",",",",96,0,,
284,t,t,96,0,,
285,h,h,96,0,,
286,e,e,96,0,,
287,a,a,95,0,,
288,c,c,95,0,,
289,t,t,95,0,,
290,u,u,95,0,,
291,a,a,95,0,,
292,l,l,95,0,,
293,b,b,96,0,,
294,r,r,96,0,,
295,o,o,96,0,,
296,a,a,96,0,,
297,d,d,96,0,,
298,c,c,96,0,,
299,a,a,96,0,,
300,s,s,96,0,,
301,t,t,96,0,,
302,d,d,96,0,,
303,a,a,96,0,,
304,t,t,96,0,,
305,e,e,96,0,,
306,a,a,96,0,,
307,n,n,96,0,,
308,d,d,96,0,,
309,t,t,96,0,,
310,i,i,96,0,,
311,m,m,96,0,,
312,e,e,96,0,,
313,",",",",96,0,,
314,a,a,95,0,,
315,n,n,95,0,,
316,d,d,95,0,,
317,a,a,95,0,,
318,b,b,96,0,,
319,r,r,96,0,,
320,i,i,96,0,,
321,e,e,96,0,,
322,f,f,96,0,,
323,d,d,96,0,,
324,e,e,96,0,,
325,s,s,96,0,,
326,c,c,96,0,,
327,r,r,96,0,,
328,i,i,96,0,,
329,p,p,96,0,,
330,t,t,96,0,,
331,i,i,96,0,,
332,o,o,96,0,,
333,n,n,96,0,,
334,o,o,96,0,,
335,f,f,96,0,,
336,t,t,96,0,,
337,h,h,96,0,,
338,e,e,96,0,,
339,c,c,96,0,,
340,o,o,96,0,,
341,m,m,96,0,,
342,p,p,96,0,,
343,l,l,96,0,,
344,a,a,96,0,,
345,i,i,96,0,,
346,n,n,96,0,,
347,t,t,96,0,,
348,I,I,96,0,,
349,n,n,96,0,,
350,v,v,96,0,,
351,i,i,96,0,,
352,e,e,96,0,,
353,w,w,96,0,,
354,o,o,97,0,,
355,f,f,97,0,,
356,t,t,97,0,,
357,h,h,97,0,,
358,e,e,97,0,,
359,l,l,96,0,,
360,a,a,96,0,,
361,r,r,96,0,,
362,g,g,96,0,,
363,e,e,96,0,,
364,a,a,96,0,,
365,m,m,96,0,,
366,o,o,96,0,,
367,u,u,96,0,,
368,n,n,96,0,,
369,t,t,96,0,,
370,o,o,96,0,,
371,f,f,96,0,,
372,b,b,96,0,,
373,r,r,96,0,,
374,o,o,96,0,,
375,a,a,96,0,,
376,d,d,96,0,,
377,c,c,96,0,,
378,a,a,96,0,,
379,s,s,96,0,,
380,t,t,96,0,,
381,m,m,95,0,,
382,a,a,95,0,,
383,t,t,95,0,,
384,e,e,95,0,,
385,r,r,95,0,,
386,i,i,95,0,,
387,a,a,95,0,,
388,l,l,95,0,,
389,s,s,95,0,,
390,m,m,95,0,,
391,a,a,95,0,,
392,d,d,95,0,,
393,e,e,95,0,,
394,a,a,96,0,,
395,v,v,96,0,,
396,a,a,96,0,,
397,i,i,96,0,,
398,l,l,96,0,,
399,a,a,96,0,,
400,b,b,96,0,,
401,l,l,96,0,,
402,e,e,96,0,,
403,t,t,96,0,,
404,o,o,96,0,,
405,t,t,96,0,,
406,h,h,96,0,,
407,e,e,96,0,,
408,p,p,96,0,,
409,u,u,96,0,,
410,b,b,96,0,,
411,l,l,96,0,,
412,i,i,96,0,,
413,c,c,96,0,,
414,",",",",96,0,,
415,c,c,96,0,,
416,o,o,96,0,,
417,m,m,96,0,,
418,p,p,96,0,,
419,l,l,96,0,,
420,a,a,96,0,,
421,i,i,96,0,,
422,n,n,96,0,,
423,t,t,96,0,,
424,s,s,96,0,,
425,w,w,96,0,,
426,i,i,96,0,,
427,t,t,96,0,,
428,h,h,96,0,,
429,o,o,96,0,,
430,u,u,96,0,,
431,t,t,96,0,,
432,s,s,96,0,,
433,u,u,96,0,,
434,f,f,96,0,,
435,f,f,96,0,,
436,i,i,96,0,,
437,c,c,96,0,,
438,i,i,96,0,,
439,e,e,96,0,,
440,n,n,96,0,,
441,t,t,96,0,,
442,a,a,96,0,,
443,n,n,96,0,,
444,d,d,96,0,,
445,c,c,96,0,,
446,o,o,96,0,,
447,n,n,96,0,,
448,c,c,96,0,,
449,r,r,96,0,,
450,e,e,96,0,,
451,t,t,96,0,,
452,e,e,96,0,,
453,d,d,96,0,,
454,e,e,96,0,,
455,t,t,96,0,,
456,a,a,96,0,,
457,i,i,96,0,,
458,l,l,96,0,,
459,s,s,96,0,,
460,f,f,96,0,,
461,o,o,96,0,,
462,r,r,96,0,,
463,i,i,95,0,,
464,d,d,95,0,,
465,e,e,95,0,,
466,n,n,95,0,,
467,t,t,95,0,,
468,i,i,95,0,,
469,f,f,95,0,,
470,i,i,95,0,,
471,c,c,95,0,,
472,a,a,95,0,,
473,t,t,95,0,,
474,i,i,95,0,,
475,o,o,95,0,,
476,n,n,95,0,,
477,o,o,96,0,,
478,f,f,96,0,,
479,t,t,96,0,,
480,h,h,96,0,,
481,e,e,96,0,,
482,b,b,96,0,,
483,r,r,96,0,,
484,o,o,96,0,,
485,a,a,96,0,,
486,d,d,96,0,,
487,c,c,96,0,,
488,a,a,96,0,,
489,s,s,96,0,,
490,t,t,96,0,,
491,m,m,96,0,,
492,a,a,96,0,,
493,t,t,96,0,,
494,e,e,96,0,,
495,r,r,96,0,,
496,i,i,96,0,,
497,a,a,96,0,,
498,l,l,96,0,,
499,c,c,96,0,,
500,o,o,96,0,,
501,n,n,96,0,,
502,c,c,96,0,,
503,e,e,96,0,,
504,r,r,96,0,,
505,n,n,96,0,,
506,e,e,96,0,,
507,d,d,96,0,,
508,c,c,96,0,,
509,a,a,96,0,,
510,n,n,96,0,,
511,n,n,96,0,,
512,o,o,96,0,,
513,t,t,96,0,,
514,b,b,96,0,,
515,e,e,96,0,,
516,f,f,96,0,,
517,u,u,96,0,,
518,r,r,96,0,,
519,t,t,96,0,,
520,h,h,96,0,,
521,e,e,96,0,,
522,r,r,96,0,,
523,p,p,96,0,,
524,r,r,96,0,,
525,o,o,96,0,,
526,c,c,96,0,,
527,e,e,96,0,,
528,s,s,96,0,,
529,s,s,96,0,,
530,e,e,96,0,,
531,d,d,96,0,,
532,P,P,96,0,,
533,l,l,96,0,,
534,e,e,96,0,,
535,a,a,96,0,,
536,s,s,96,0,,
537,e,e,96,0,,
538,a,a,96,0,,
539,l,l,96,0,,
540,s,s,96,0,,
541,o,o,96,0,,
542,l,l,96,0,,
543,e,e,96,0,,
544,a,a,96,0,,
545,v,v,96,0,,
546,e,e,96,0,,
547,y,y,96,0,,
548,o,o,96,0,,
549,u,u,96,0,,
550,r,r,96,0,,
551,c,c,96,0,,
552,o,o,96,0,,
553,r,r,96,0,,
554,r,r,96,0,,
555,e,e,96,0,,
556,s,s,96,0,,
557,p,p,96,0,,
558,o,o,96,0,,
559,n,n,96,0,,
560,d,d,96,0,,
561,e,e,96,0,,
562,n,n,96,0,,
563,c,c,96,0,,
564,e,e,96,0,,
565,a,a,96,0,,
566,d,d,96,0,,
567,d,d,96,0,,
568,r,r,96,0,,
569,e,e,96,0,,
570,s,s,96,0,,
571,s,s,96,0,,
572,",",",",96,0,,
573,e,e,96,0,,
574,m,m,96,0,,
575,a,a,96,0,,
576,i,i,96,0,,
577,l,l,96,0,,
578,a,a,96,0,,
579,d,d,96,0,,
580,d,d,96,0,,
581,r,r,96,0,,
582,e,e,96,0,,
583,s,s,96,0,,
584,s,s,96,0,,
585,o,o,96,0,,
586,r,r,96,0,,
587,f,f,96,0,,
588,a,a,96,0,,
589,x,x,96,0,,
590,n,n,96,0,,
591,u,u,96,0,,
592,m,m,96,0,,
593,b,b,96,0,,
594,e,e,96,0,,
595,r,r,96,0,,
596,w,w,96,0,,
597,i,i,96,0,,
598,t,t,96,0,,
599,h,h,96,0,,
600,u,u,96,0,,
601,s,s,96,0,,
602,i,i,96,0,,
603,f,f,96,0,,
604,y,y,96,0,,
605,o,o,96,0,,
606,u,u,96,0,,
607,w,w,96,0,,
608,o,o,96,0,,
609,u,u,96,0,,
610,l,l,96,0,,
611,d,d,96,0,,
612,l,l,96,0,,
613,i,i,96,0,,
614,k,k,96,0,,
615,e,e,96,0,,
616,t,t,96,0,,
617,o,o,96,0,,
618,b,b,96,0,,
619,e,e,96,0,,
620,i,i,96,0,,
621,n,n,96,0,,
622,f,f,96,0,,
623,o,o,96,0,,
624,r,r,96,0,,
625,m,m,96,0,,
626,e,e,96,0,,
627,d,d,96,0,,
628,o,o,97,0,,
629,f,f,97,0,,
630,t,t,97,0,,
631,h,h,97,0,,
632,e,e,97,0,,
633,i,i,96,0,,
634,n,n,96,0,,
635,v,v,96,0,,
636,e,e,96,0,,
637,s,s,96,0,,
638,t,t,96,0,,
639,i,i,96,0,,
640,g,g,96,0,,
641,a,a,96,0,,
642,t,t,96,0,,
643,i,i,96,0,,
644,o,o,96,0,,
645,n,n,96,0,,
646,r,r,96,0,,
647,e,e,96,0,,
648,s,s,96,0,,
649,u,u,96,0,,
650,l,l,96,0,,
651,t,t,96,0,,
652,s,s,96,0,,
653,i,i,96,0,,
654,n,n,96,0,,
655,w,w,96,0,,
656,r,r,96,0,,
657,i,i,96,0,,
658,t,t,96,0,,
659,i,i,96,0,,
660,n,n,96,0,,
661,g,g,96,0,,
662,2,2,95,0,,
663,P,P,96,0,,
664,l,l,96,0,,
665,e,e,96,0,,
666,a,a,96,0,,
667,s,s,96,0,,
668,e,e,96,0,,
669,f,f,97,0,,
670,a,a,97,0,,
671,x,x,97,0,,
672,t,t,96,0,,
673,h,h,96,0,,
674,e,e,96,0,,
675,c,c,96,0,,
676,o,o,96,0,,
677,m,m,96,0,,
678,p,p,96,0,,
679,l,l,96,0,,
680,e,e,96,0,,
681,t,t,96,0,,
682,e,e,96,0,,
683,d,d,96,0,,
684,c,c,96,0,,
685,o,o,96,0,,
686,m,m,96,0,,
687,p,p,96,0,,
688,l,l,96,0,,
689,a,a,96,0,,
690,i,i,96,0,,
691,n,n,96,0,,
692,t,t,96,0,,
693,f,f,96,0,,
694,o,o,96,0,,
