,word data,ocr data,conf,check,ocr time,
1146,n,n,95,0,,
1147,w,w,96,0,,
1148,r,r,96,0,,
1149,i,i,96,0,,
1150,t,t,96,0,,
1151,i,i,96,0,,
1152,n,n,96,0,,
1153,g,g,96,0,,
1154,t,t,96,0,,
1155,o,o,96,0,,
1156,t,t,96,0,,
1157,h,h,96,0,,
1158,e,e,96,0,,
1159,D,D,96,0,,
1160,e,e,96,0,,
1161,p,p,96,0,,
1162,a,a,96,0,,
1163,r,r,96,0,,
1164,t,t,96,0,,
1165,m,m,96,0,,
1166,e,e,96,0,,
1167,n,n,96,0,,
1168,t,t,96,0,,
1169,a,a,96,0,,
1170,l,l,96,0,,
1171,S,S,96,0,,
1172,e,e,96,0,,
1173,c,c,96,0,,
1174,r,r,96,0,,
1175,e,e,96,0,,
1176,t,t,96,0,,
1177,a,a,96,0,,
1178,r,r,96,0,,
1179,y,y,96,0,,
1180,o,o,97,0,,
1181,f,f,97,0,,
1182,t,t,96,0,,
1183,h,h,96,0,,
1184,e,e,96,0,,
1185,O,O,96,0,,
1186,f,f,96,0,,
1187,f,f,96,0,,
1188,i,i,96,0,,
1189,c,c,96,0,,
1190,e,e,96,0,,
1191,o,o,96,0,,
1192,f,f,96,0,,
1193,t,t,96,0,,
1194,h,h,96,0,,
1195,e,e,96,0,,
1196,C,C,95,0,,
1197,o,o,95,0,,
1198,m,m,95,0,,
1199,m,m,95,0,,
1200,u,u,95,0,,
1201,n,n,95,0,,
1202,i,i,95,0,,
1203,c,c,95,0,,
1204,a,a,95,0,,
1205,t,t,95,0,,
1206,i,i,95,0,,
1207,o,o,95,0,,
1208,n,n,95,0,,
1209,s,s,95,0,,
1210,A,A,92,0,,
1211,u,u,92,0,,
1212,t,t,92,0,,
1213,h,h,92,0,,
1214,o,o,92,0,,
1215,r,r,92,0,,
1216,i,i,92,0,,
1217,t,t,92,0,,
1218,y,y,92,0,,
1219,",",",",92,0,,
1220,2,2,80,0,,
1221,0,0,80,0,,
1222,/,/,80,0,,
1223,F,F,80,0,,
1224,",",",",80,0,,
1225,W,W,96,0,,
1226,u,u,96,0,,
1227,C,C,96,0,,
1228,h,h,96,0,,
1229,u,u,96,0,,
1230,n,n,96,0,,
1231,g,g,96,0,,
1232,H,H,96,0,,
1233,o,o,96,0,,
1234,u,u,96,0,,
1235,s,s,96,0,,
1236,e,e,96,0,,
1237,",",",",96,0,,
1238,2,2,93,0,,
1239,1,1,93,0,,
1240,3,3,93,0,,
1241,Q,Q,92,0,,
1242,u,u,92,0,,
1243,e,e,92,0,,
1244,e,e,92,0,,
1245,n,n,92,0,,
1246,s,s,92,0,,
1247,R,R,96,0,,
1248,o,o,96,0,,
1249,a,a,96,0,,
1250,d,d,96,0,,
1251,E,E,96,0,,
1252,a,a,96,0,,
1253,s,s,96,0,,
1254,t,t,96,0,,
1255,",",",",96,0,,
1256,W,W,95,0,,
1257,a,a,95,0,,
1258,n,n,95,0,,
1259,c,c,95,0,,
1260,h,h,95,0,,
1261,a,a,95,0,,
1262,i,i,95,0,,
1263,",",",",95,0,,
1264,H,H,95,0,,
1265,o,o,95,0,,
1266,n,n,95,0,,
1267,g,g,95,0,,
1268,K,K,96,0,,
1269,o,o,96,0,,
1270,n,n,96,0,,
1271,g,g,96,0,,
1272,I,I,60,0,,
1273,I,,,1,,
1274,P,P,95,0,,
1275,a,a,95,0,,
1276,r,r,95,0,,
1277,t,t,95,0,,
1278,i,i,95,0,,
1279,c,c,95,0,,
1280,u,u,95,0,,
1281,l,l,95,0,,
1282,a,a,95,0,,
1283,r,r,95,0,,
1284,s,s,95,0,,
1285,o,o,96,0,,
1286,f,f,96,0,,
1287,C,C,96,0,,
1288,o,o,96,0,,
1289,m,m,96,0,,
1290,p,p,96,0,,
1291,l,l,96,0,,
1292,a,a,96,0,,
1293,i,i,96,0,,
1294,n,n,96,0,,
1295,a,a,96,0,,
1296,n,n,96,0,,
1297,t,t,96,0,,
1298,N,N,93,0,,
1299,a,a,93,0,,
1300,m,m,93,0,,
1301,e,e,93,0,,
1302,:,:,39,0,,
1303,T,T,91,0,,
1304,i,i,91,0,,
1305,t,t,91,0,,
1306,l,l,91,0,,
1307,e,e,91,0,,
1308,:,:,91,0,,
1309,M,M,88,0,,
1310,r,r,88,0,,
1311,/,/,88,0,,
1312,M,M,95,0,,
1313,s,s,95,0,,
1314,(,(,97,0,,
1315,P,P,97,0,,
1316,l,l,97,0,,
1317,e,e,97,0,,
1318,a,a,97,0,,
1319,s,s,97,0,,
1320,e,e,97,0,,
1321,p,p,96,0,,
1322,u,u,96,0,,
1323,t,t,96,0,,
1324,a,a,96,0,,
1325,t,t,96,0,,
1326,i,i,96,0,,
1327,c,c,96,0,,
1328,k,k,96,0,,
1329,i,i,96,0,,
1330,n,n,96,0,,
1331,t,t,96,0,,
1332,h,h,96,0,,
1333,e,e,96,0,,
1334,a,a,96,0,,
1335,p,p,96,0,,
1336,p,p,96,0,,
1337,r,r,96,0,,
1338,o,o,96,0,,
1339,p,p,96,0,,
1340,r,r,96,0,,
1341,i,i,96,0,,
1342,a,a,96,0,,
1343,t,t,96,0,,
1344,e,e,96,0,,
1345,b,b,96,0,,
1346,o,o,96,0,,
1347,x,x,96,0,,
1348,),),96,0,,
1349,T,T,96,0,,
1350,e,e,96,0,,
1351,l,l,96,0,,
1352,e,e,96,0,,
1353,p,p,96,0,,
1354,h,h,96,0,,
1355,o,o,96,0,,
1356,n,n,96,0,,
1357,e,e,96,0,,
1358,N,N,96,0,,
1359,o,o,96,0,,
1360,(,(,96,0,,
1361,D,D,96,0,,
1362,a,a,96,0,,
1363,y,y,96,0,,
1364,T,T,93,0,,
1365,i,i,93,0,,
1366,m,m,93,0,,
1367,e,e,93,0,,
1368,),),93,0,,
1369,:,:,72,0,,
1370,A,A,96,0,,
1371,d,d,96,0,,
1372,d,d,96,0,,
1373,r,r,96,0,,
1374,e,e,96,0,,
1375,s,s,96,0,,
1376,s,s,96,0,,
1377,:,:,96,0,,
1378,(,(,96,0,,
1379,t,t,96,0,,
1380,o,o,96,0,,
1381,b,b,96,0,,
1382,e,e,96,0,,
1383,c,c,96,0,,
1384,o,o,96,0,,
1385,m,m,96,0,,
1386,p,p,96,0,,
1387,l,l,96,0,,
1388,e,e,96,0,,
1389,t,t,96,0,,
1390,e,e,96,0,,
1391,d,d,96,0,,
1392,i,i,96,0,,
1393,f,f,96,0,,
1394,a,a,96,0,,
1395,w,w,96,0,,
1396,r,r,96,0,,
1397,i,i,96,0,,
1398,t,t,96,0,,
1399,t,t,96,0,,
1400,e,e,96,0,,
1401,n,n,96,0,,
1402,r,r,96,0,,
1403,e,e,96,0,,
1404,p,p,96,0,,
1405,l,l,96,0,,
1406,y,y,96,0,,
1407,i,i,96,0,,
1408,s,s,96,0,,
1409,r,r,96,0,,
1410,e,e,96,0,,
1411,q,q,96,0,,
1412,u,u,96,0,,
1413,i,i,96,0,,
1414,r,r,96,0,,
1415,e,e,96,0,,
1416,d,d,96,0,,
1417,),),96,0,,
1418,E,E,93,0,,
1419,m,m,93,0,,
1420,a,a,93,0,,
1421,i,i,93,0,,
1422,l,l,93,0,,
1423,A,A,92,0,,
1424,d,d,92,0,,
1425,d,d,92,0,,
1426,r,r,92,0,,
1427,e,e,92,0,,
1428,s,s,92,0,,
1429,s,s,92,0,,
1430,/,/,92,0,,
1431,F,F,92,0,,
1432,a,a,92,0,,
1433,x,x,92,0,,
1434,N,N,88,0,,
1435,o,o,88,0,,
1436,:,:,88,0,,
1437,(,(,95,0,,
1438,t,t,95,0,,
1439,o,o,95,0,,
1440,b,b,96,0,,
1441,e,e,96,0,,
1442,c,c,96,0,,
1443,o,o,96,0,,
1444,m,m,96,0,,
1445,p,p,96,0,,
1446,l,l,96,0,,
1447,e,e,96,0,,
1448,t,t,96,0,,
1449,e,e,96,0,,
1450,d,d,96,0,,
1451,i,i,94,0,,
1452,f,f,94,0,,
1453,a,a,94,0,,
1454,w,w,96,0,,
1455,r,r,96,0,,
1456,i,i,96,0,,
1457,t,t,96,0,,
1458,t,t,96,0,,
1459,e,e,96,0,,
1460,n,n,96,0,,
1461,r,r,96,0,,
1462,e,e,96,0,,
1463,p,p,96,0,,
1464,l,l,96,0,,
1465,y,y,96,0,,
1466,i,i,96,0,,
1467,s,s,96,0,,
1468,r,r,96,0,,
1469,e,e,96,0,,
1470,q,q,96,0,,
1471,u,u,96,0,,
1472,i,i,96,0,,
1473,r,r,96,0,,
1474,e,e,96,0,,
1475,d,d,96,0,,
1476,),),96,0,,
1477,I,I,57,0,,
1478,I,L,57,1,,
1479,I,,,1,,
1480,D,D,96,0,,
1481,e,e,96,0,,
1482,t,t,96,0,,
1483,a,a,96,0,,
1484,i,i,96,0,,
1485,l,l,96,0,,
1486,s,s,96,0,,
1487,o,o,95,0,,
1488,f,f,95,0,,
1489,C,C,95,0,,
1490,o,o,95,0,,
1491,m,m,95,0,,
1492,p,p,95,0,,
1493,l,l,95,0,,
1494,a,a,95,0,,
1495,i,i,95,0,,
1496,n,n,95,0,,
1497,t,t,95,0,,
1498,T,T,96,0,,
1499,y,y,96,0,,
1500,p,p,96,0,,
1501,e,e,96,0,,
1502,o,o,96,0,,
1503,f,f,96,0,,
1504,c,c,96,0,,
1505,o,o,96,0,,
1506,m,m,96,0,,
1507,p,p,96,0,,
1508,l,l,96,0,,
1509,a,a,96,0,,
1510,i,i,96,0,,
1511,n,n,96,0,,
1512,t,t,96,0,,
1513,:,:,96,0,,
1514,P,P,96,0,,
1515,r,r,96,0,,
1516,o,o,96,0,,
1517,g,g,96,0,,
1518,r,r,96,0,,
1519,a,a,96,0,,
1520,m,m,96,0,,
1521,m,m,96,0,,
1522,e,e,96,0,,
1523,A,A,90,0,,
1524,d,d,90,0,,
1525,v,v,90,0,,
1526,e,e,90,0,,
1527,r,r,90,0,,
1528,t,t,90,0,,
1529,i,i,90,0,,
1530,s,s,90,0,,
1531,e,e,90,0,,
1532,m,m,90,0,,
1533,e,e,90,0,,
1534,n,n,90,0,,
1535,t,t,90,0,,
1536,P,P,96,0,,
1537,r,r,96,0,,
1538,o,o,96,0,,
1539,g,g,96,0,,
1540,r,r,96,0,,
1541,a,a,96,0,,
1542,m,m,96,0,,
1543,m,m,96,0,,
1544,e,e,96,0,,
1545,P,P,96,0,,
1546,r,r,96,0,,
1547,o,o,96,0,,
1548,m,m,96,0,,
1549,o,o,96,0,,
1550,G,G,95,0,,
1551,o,o,95,0,,
1552,v,v,95,0,,
1553,e,e,95,0,,
1554,r,r,95,0,,
1555,n,n,95,0,,
1556,m,m,95,0,,
1557,e,e,95,0,,
1558,n,n,95,0,,
1559,t,t,95,0,,
1560,A,A,96,0,,
1561,n,n,96,0,,
1562,n,n,96,0,,
1563,o,o,96,0,,
1564,u,u,96,0,,
1565,n,n,96,0,,
1566,c,c,96,0,,
1567,e,e,96,0,,
1568,m,m,96,0,,
1569,e,e,96,0,,
1570,n,n,96,0,,
1571,t,t,96,0,,
1572,i,i,96,0,,
1573,n,n,96,0,,
1574,t,t,96,0,,
1575,h,h,96,0,,
1576,e,e,96,0,,
1577,P,P,96,0,,
1578,u,u,96,0,,
1579,b,b,96,0,,
1580,l,l,96,0,,
1581,i,i,96,0,,
1582,c,c,96,0,,
1583,I,I,97,0,,
1584,n,n,97,0,,
1585,t,t,97,0,,
1586,e,e,97,0,,
1587,r,r,97,0,,
1588,e,e,97,0,,
1589,s,s,97,0,,
1590,t,t,97,0,,
1591,R,R,96,0,,
1592,e,e,96,0,,
1593,c,c,96,0,,
1594,e,e,96,0,,
1595,p,p,96,0,,
1596,t,t,96,0,,
1597,i,i,96,0,,
1598,o,o,96,0,,
1599,n,n,96,0,,
1600,P,P,92,0,,
1601,r,r,92,0,,
1602,o,o,92,0,,
1603,b,b,92,0,,
1604,l,l,92,0,,
1605,e,e,92,0,,
1606,m,m,92,0,,
1607,s,s,92,0,,
1608,O,O,96,0,,
1609,t,t,96,0,,
1610,h,h,96,0,,
1611,e,e,96,0,,
1612,r,r,96,0,,
1613,s,s,96,0,,
1614,(,(,96,0,,
1615,P,P,96,0,,
1616,l,l,96,0,,
1617,e,e,96,0,,
1618,a,a,96,0,,
1619,s,s,96,0,,
1620,e,e,96,0,,
1621,p,p,96,0,,
1622,u,u,96,0,,
1623,t,t,96,0,,
1624,a,a,96,0,,
1625,t,t,96,0,,
1626,i,i,96,0,,
1627,c,c,96,0,,
1628,k,k,96,0,,
1629,i,i,96,0,,
1630,n,n,96,0,,
1631,t,t,96,0,,
1632,h,h,96,0,,
1633,e,e,96,0,,
1634,a,a,96,0,,
1635,p,p,96,0,,
1636,p,p,96,0,,
1637,r,r,96,0,,
1638,o,o,96,0,,
1639,p,p,96,0,,
1640,r,r,96,0,,
1641,i,i,96,0,,
1642,a,a,96,0,,
1643,t,t,96,0,,
1644,e,e,96,0,,
1645,b,b,96,0,,
1646,o,o,96,0,,
1647,x,x,96,0,,
1648,),),96,0,,
1649,T,T,91,0,,
1650,i,i,91,0,,
1651,t,t,91,0,,
1652,l,l,91,0,,
1653,e,e,91,0,,
1654,:,:,61,0,,
1655,A,A,96,0,,
1656,c,c,96,0,,
1657,t,t,96,0,,
1658,u,u,96,0,,
1659,a,a,96,0,,
1660,l,l,96,0,,
1661,B,B,93,0,,
1662,r,r,93,0,,
1663,o,o,93,0,,
1664,a,a,93,0,,
1665,d,d,93,0,,
1666,c,c,93,0,,
1667,a,a,93,0,,
1668,s,s,93,0,,
1669,t,t,93,0,,
1670,D,D,91,0,,
1671,a,a,91,0,,
1672,t,t,91,0,,
1673,e,e,91,0,,
1674,+,*,91,1,,
1675,:,:,92,0,,
1676,A,A,96,0,,
1677,c,c,96,0,,
1678,t,t,96,0,,
1679,u,u,96,0,,
1680,a,a,96,0,,
1681,l,l,96,0,,
1682,B,B,93,0,,
1683,r,r,93,0,,
1684,o,o,93,0,,
1685,a,a,93,0,,
1686,d,d,93,0,,
1687,c,c,93,0,,
1688,a,a,93,0,,
1689,s,s,93,0,,
1690,t,t,93,0,,
1691,T,T,67,0,,
1692,i,i,67,0,,
1693,m,m,67,0,,
1694,e,e,67,0,,
1695,#,*,67,1,,
1696,:,:,67,0,,
1697,B,B,96,0,,
1698,r,r,96,0,,
1699,o,o,96,0,,
1700,a,a,96,0,,
1701,d,d,96,0,,
1702,c,c,96,0,,
1703,a,a,96,0,,
1704,s,s,96,0,,
1705,t,t,96,0,,
1706,C,C,96,0,,
1707,h,h,96,0,,
1708,a,a,96,0,,
1709,n,n,96,0,,
1710,n,n,96,0,,
1711,e,e,96,0,,
1712,l,l,96,0,,
1713,(,(,96,0,,
1714,P,P,96,0,,
1715,l,l,96,0,,
1716,e,e,96,0,,
1717,a,a,96,0,,
1718,s,s,96,0,,
1719,e,e,96,0,,
1720,f,f,96,0,,
1721,i,i,96,0,,
1722,l,l,96,0,,
1723,l,l,96,0,,
1724,i,i,96,0,,
1725,n,n,96,0,,
1726,t,t,96,0,,
1727,h,h,96,0,,
1728,e,e,96,0,,
1729,a,a,96,0,,
1730,p,p,96,0,,
1731,p,p,96,0,,
1732,r,r,96,0,,
1733,o,o,96,0,,
1734,p,p,96,0,,
1735,r,r,96,0,,
1736,i,i,96,0,,
1737,a,a,96,0,,
1738,t,t,96,0,,
1739,e,e,96,0,,
1740,b,b,96,0,,
1741,l,l,96,0,,
1742,a,a,96,0,,
1743,n,n,96,0,,
1744,k,k,96,0,,
1745,w,w,96,0,,
1746,i,i,96,0,,
1747,t,t,96,0,,
1748,h,h,96,0,,
1749,t,t,96,0,,
1750,h,h,96,0,,
1751,e,e,96,0,,
1752,c,c,95,0,,
1753,h,h,95,0,,
1754,a,a,95,0,,
1755,n,n,95,0,,
1756,n,n,95,0,,
1757,e,e,95,0,,
1758,l,l,95,0,,
1759,n,n,95,0,,
1760,a,a,95,0,,
1761,m,m,95,0,,
1762,e,e,95,0,,
1763,),),95,0,,
1764,T,T,96,0,,
1765,e,e,96,0,,
1766,l,l,96,0,,
1767,e,e,96,0,,
1768,v,v,96,0,,
1769,i,i,96,0,,
1770,s,s,96,0,,
1771,i,i,96,0,,
1772,o,o,96,0,,
1773,n,n,96,0,,
1774,D,D,96,0,,
1775,o,o,96,0,,
1776,m,m,96,0,,
1777,e,e,96,0,,
1778,s,s,96,0,,
1779,t,t,96,0,,
1780,i,i,96,0,,
1781,c,c,96,0,,
1782,F,F,96,0,,
1783,r,r,96,0,,
1784,e,e,96,0,,
1785,e,e,96,0,,
1786,T,T,96,0,,
1787,e,e,96,0,,
1788,l,l,96,0,,
1789,e,e,96,0,,
1790,v,v,96,0,,
1791,i,i,96,0,,
1792,s,s,96,0,,
1793,i,i,96,0,,
1794,o,o,96,0,,
1795,n,n,96,0,,
1796,P,P,96,0,,
1797,r,r,96,0,,
1798,o,o,96,0,,
1799,g,g,96,0,,
1800,r,r,96,0,,
1801,a,a,96,0,,
1802,m,m,96,0,,
1803,m,m,96,0,,
1804,e,e,96,0,,
1805,S,S,96,0,,
1806,e,e,96,0,,
1807,r,r,96,0,,
1808,v,v,96,0,,
1809,i,i,96,0,,
1810,c,c,96,0,,
1811,e,e,96,0,,
1812,F,F,96,0,,
1813,a,a,96,0,,
1814,n,n,96,0,,
1815,t,t,96,0,,
1816,a,a,96,0,,
1817,s,s,96,0,,
1818,t,t,96,0,,
1819,i,i,96,0,,
1820,c,c,96,0,,
1821,T,T,97,0,,
1822,V,V,97,0,,
1823,:,:,97,0,,
1824,H,H,90,0,,
1825,K,K,90,0,,
1826,T,T,90,0,,
1827,V,V,90,0,,
1828,E,E,90,0,,
1829,:,:,90,0,,
1830,T,T,91,0,,
1831,V,V,91,0,,
1832,B,B,91,0,,
1833,:,:,91,0,,
1834,D,D,96,0,,
1835,o,o,96,0,,
1836,m,m,96,0,,
1837,e,e,96,0,,
1838,s,s,96,0,,
1839,t,t,96,0,,
1840,i,i,96,0,,
1841,c,c,96,0,,
1842,P,P,96,0,,
1843,a,a,96,0,,
1844,y,y,96,0,,
1845,T,T,96,0,,
1846,e,e,96,0,,
1847,l,l,96,0,,
1848,e,e,96,0,,
1849,v,v,96,0,,
1850,i,i,96,0,,
1851,s,s,96,0,,
1852,i,i,96,0,,
1853,o,o,96,0,,
1854,n,n,96,0,,
1855,P,P,96,0,,
1856,r,r,96,0,,
1857,o,o,96,0,,
1858,g,g,96,0,,
1859,r,r,96,0,,
1860,a,a,96,0,,
1861,m,m,96,0,,
1862,m,m,96,0,,
1863,e,e,96,0,,
1864,S,S,96,0,,
1865,e,e,96,0,,
1866,r,r,96,0,,
1867,v,v,96,0,,
1868,i,i,96,0,,
1869,c,c,96,0,,
1870,e,e,96,0,,
1871,s,s,96,0,,
1872,C,C,96,0,,
1873,a,a,96,0,,
1874,b,b,96,0,,
1875,l,l,96,0,,
1876,e,e,96,0,,
1877,T,T,96,0,,
1878,V,V,96,0,,
1879,:,:,96,0,,
1880,n,n,96,0,,
1881,o,o,96,0,,
1882,w,w,96,0,,
1883,T,T,96,0,,
1884,V,V,96,0,,
1885,:,:,96,0,,
1886,N,N,91,0,,
1887,o,o,91,0,,
1888,n,n,91,0,,
1889,d,d,91,0,,
1890,o,o,91,0,,
1891,m,m,91,0,,
1892,e,e,91,0,,
1893,s,s,91,0,,
1894,t,t,91,0,,
1895,i,i,91,0,,
1896,c,c,91,0,,
1897,T,T,96,0,,
1898,e,e,96,0,,
1899,l,l,96,0,,
1900,e,e,96,0,,
1901,v,v,96,0,,
1902,i,i,96,0,,
1903,s,s,96,0,,
1904,i,i,96,0,,
1905,o,o,96,0,,
1906,n,n,96,0,,
1907,P,P,96,0,,
1908,r,r,96,0,,
1909,o,o,96,0,,
1910,g,g,96,0,,
1911,r,r,96,0,,
1912,a,a,96,0,,
1913,m,m,96,0,,
1914,m,m,96,0,,
1915,e,e,96,0,,
1916,S,S,92,0,,
1917,e,e,92,0,,
1918,r,r,92,0,,
1919,v,v,92,0,,
1920,i,i,92,0,,
1921,c,c,92,0,,
1922,e,e,92,0,,
1923,s,s,92,0,,
1924,S,S,96,0,,
1925,t,t,96,0,,
1926,a,a,96,0,,
1927,t,t,96,0,,
1928,i,i,96,0,,
1929,o,o,96,0,,
1930,n,n,96,0,,
1931,:,:,96,0,,
1932,C,C,96,0,,
1933,h,h,96,0,,
1934,a,a,96,0,,
1935,n,n,96,0,,
1936,n,n,96,0,,
1937,e,e,96,0,,
1938,l,l,96,0,,
1939,:,:,96,0,,
1940,R,R,96,0,,
1941,a,a,96,0,,
1942,d,d,96,0,,
1943,i,i,96,0,,
1944,o,o,96,0,,
1945,T,T,96,0,,
1946,e,e,96,0,,
1947,l,l,96,0,,
1948,e,e,96,0,,
1949,v,v,96,0,,
1950,i,i,96,0,,
1951,s,s,96,0,,
1952,i,i,96,0,,
1953,o,o,96,0,,
1954,n,n,96,0,,
1955,H,H,96,0,,
1956,o,o,96,0,,
1957,n,n,96,0,,
1958,g,g,96,0,,
1959,K,K,96,0,,
1960,o,o,96,0,,
1961,n,n,96,0,,
1962,g,g,96,0,,
1963,C,C,37,0,,
1964,h,h,37,0,,
1965,a,a,37,0,,
1966,n,n,37,0,,
1967,n,n,37,0,,
1968,e,e,37,0,,
1969,l,l,37,0,,
1970,:,:,37,0,,
1971,R,R,95,0,,
1972,a,a,95,0,,
1973,d,d,95,0,,
1974,i,i,95,0,,
1975,o,o,95,0,,
1976,C,C,96,0,,
1977,o,o,96,0,,
1978,m,m,96,0,,
1979,m,m,96,0,,
1980,e,e,96,0,,
1981,r,r,96,0,,
1982,c,c,96,0,,
1983,i,i,96,0,,
1984,a,a,96,0,,
1985,l,l,96,0,,
1986,R,R,93,0,,
1987,a,a,93,0,,
1988,d,d,93,0,,
1989,i,i,93,0,,
1990,o,o,93,0,,
1991,:,:,93,0,,
1992,M,M,96,0,,
1993,e,e,96,0,,
1994,t,t,96,0,,
1995,r,r,96,0,,
1996,o,o,96,0,,
1997,B,B,92,0,,
1998,r,r,92,0,,
1999,o,o,92,0,,
2000,a,a,92,0,,
2001,d,d,92,0,,
2002,c,c,92,0,,
2003,a,a,92,0,,
2004,s,s,92,0,,
2005,t,t,92,0,,
2006,:,:,92,0,,
2007,R,R,91,0,,
2008,T,T,91,0,,
2009,H,H,91,0,,
2010,K,K,91,0,,
2011,:,:,91,0,,
2012,O,O,96,0,,
2013,t,t,96,0,,
2014,h,h,96,0,,
2015,e,e,96,0,,
2016,r,r,96,0,,
2017,s,s,96,0,,
2018,:,:,96,0,,
2019,D,,,1,,
2020,e,,,1,,
2021,t,,,1,,
2022,a,,,1,,
2023,i,,,1,,
2024,l,,,1,,
2025,s,,,1,,
2026,o,,,1,,
2027,f,,,1,,
2028,C,,,1,,
2029,o,,,1,,
2030,m,,,1,,
2031,p,,,1,,
2032,l,,,1,,
2033,a,,,1,,
2034,i,,,1,,
2035,n,,,1,,
2036,t,,,1,,
2037,:,,,1,,
2038,R,R,96,0,,
2039,e,e,96,0,,
2040,q,q,96,0,,
2041,u,u,96,0,,
2042,e,e,96,0,,
2043,s,s,96,0,,
2044,t,t,96,0,,
2045,f,f,95,0,,
2046,o,o,95,0,,
2047,r,r,95,0,,
2048,O,O,84,0,,
2049,r,r,84,0,,
2050,g,g,84,0,,
2051,a,a,84,0,,
2052,n,n,84,0,,
2053,i,i,84,0,,
2054,z,z,84,0,,
2055,i,i,84,0,,
2056,n,n,84,0,,
2057,g,g,84,0,,
2058,F,F,96,0,,
2059,i,i,96,0,,
2060,r,r,96,0,,
2061,s,s,96,0,,
2062,t,t,96,0,,
2063,A,A,95,0,,
2064,i,i,95,0,,
2065,d,d,95,0,,
2066,T,T,95,0,,
2067,a,a,95,0,,
2068,l,l,95,0,,
2069,k,k,95,0,,
2070,(,(,95,0,,
2071,N,N,95,0,,
2072,o,o,95,0,,
2073,n,n,95,0,,
2074,G,G,95,0,,
2075,o,o,95,0,,
2076,v,v,95,0,,
2077,e,e,95,0,,
2078,r,r,95,0,,
2079,n,n,95,0,,
2080,m,m,95,0,,
2081,e,e,95,0,,
2082,n,n,95,0,,
2083,t,t,95,0,,
2084,D,D,96,0,,
2085,e,e,96,0,,
2086,p,p,96,0,,
2087,a,a,96,0,,
2088,r,r,96,0,,
2089,t,t,96,0,,
2090,m,m,96,0,,
2091,e,e,96,0,,
2092,n,n,96,0,,
2093,t,t,96,0,,
2094,),),96,0,,
2095,A,A,75,0,,
2096,p,p,75,0,,
2097,p,p,75,0,,
2098,l,l,75,0,,
2099,i,i,75,0,,
2100,c,c,75,0,,
2101,a,a,75,0,,
2102,n,n,75,0,,
2103,t,t,75,0,,
2104,:,:,51,0,,
2105,O,O,92,0,,
2106,r,r,92,0,,
2107,g,g,92,0,,
2108,a,a,92,0,,
2109,n,n,92,0,,
2110,i,i,92,0,,
2111,z,z,92,0,,
2112,a,a,92,0,,
2113,t,t,92,0,,
2114,i,i,92,0,,
2115,o,o,92,0,,
2116,n,n,92,0,,
2117,/,/,92,0,,
2118,D,D,93,0,,
2119,e,e,93,0,,
2120,p,p,93,0,,
2121,a,a,93,0,,
2122,r,r,93,0,,
2123,t,t,93,0,,
2124,m,m,93,0,,
2125,e,e,93,0,,
2126,n,n,93,0,,
2127,t,t,93,0,,
2128,:,:,92,0,,
2129,A,A,92,0,,
2130,d,d,92,0,,
2131,d,d,92,0,,
2132,r,r,92,0,,
2133,e,e,92,0,,
2134,s,s,92,0,,
2135,s,s,92,0,,
2136,:,:,90,0,,
2137,C,C,96,0,,
2138,o,o,96,0,,
2139,n,n,96,0,,
2140,t,t,96,0,,
2141,a,a,96,0,,
2142,c,c,96,0,,
2143,t,t,96,0,,
2144,P,P,93,0,,
2145,e,e,93,0,,
2146,r,r,93,0,,
2147,s,s,93,0,,
2148,o,o,93,0,,
2149,n,n,93,0,,
2150,:,:,93,0,,
2151,M,M,90,0,,
2152,r,r,90,0,,
2153,/,/,90,0,,
2154,M,M,90,0,,
2155,i,i,90,0,,
2156,s,s,90,0,,
2157,s,s,90,0,,
2158,/,/,90,0,,
2159,M,M,90,0,,
2160,r,r,90,0,,
2161,s,s,90,0,,
2162,T,T,96,0,,
2163,e,e,96,0,,
2164,l,l,96,0,,
2165,e,e,96,0,,
2166,p,p,96,0,,
2167,h,h,96,0,,
2168,o,o,96,0,,
2169,n,n,96,0,,
2170,e,e,96,0,,
2171,N,N,90,0,,
2172,o,o,90,0,,
2173,:,:,90,0,,
2174,M,M,96,0,,
2175,o,o,96,0,,
2176,b,b,96,0,,
2177,i,i,96,0,,
2178,l,l,96,0,,
2179,e,e,96,0,,
2180,P,P,96,0,,
2181,h,h,96,0,,
2182,o,o,96,0,,
2183,n,n,96,0,,
2184,e,e,96,0,,
2185,N,N,91,0,,
2186,o,o,91,0,,
2187,:,:,91,0,,
2188,E,E,96,0,,
2189,m,m,96,0,,
2190,a,a,96,0,,
2191,i,i,96,0,,
2192,l,l,96,0,,
2193,A,A,92,0,,
2194,d,d,92,0,,
2195,d,d,92,0,,
2196,r,r,92,0,,
2197,e,e,92,0,,
2198,s,s,92,0,,
2199,s,s,92,0,,
2200,:,:,92,0,,
2201,F,F,93,0,,
2202,a,a,93,0,,
2203,x,x,93,0,,
2204,N,N,86,0,,
2205,o,o,86,0,,
2206,:,:,86,0,,
2207,D,D,96,0,,
2208,e,e,96,0,,
2209,t,t,96,0,,
2210,a,a,96,0,,
2211,i,i,96,0,,
2212,l,l,96,0,,
2213,s,s,96,0,,
2214,o,o,96,0,,
2215,f,f,96,0,,
2216,t,t,96,0,,
2217,h,h,96,0,,
2218,e,e,96,0,,
2219,T,T,93,0,,
2220,a,a,93,0,,
2221,l,l,93,0,,
2222,k,k,93,0,,
2223,:,:,91,0,,
2224,D,D,93,0,,
