,word data,ocr data,conf,check,ocr time
0,N,N,96,0,3.300640106
1,O,O,96,0,
2,T,T,96,0,
3,I,I,96,0,
4,C,C,96,0,
5,E,E,96,0,
6,O,O,95,0,
7,F,F,95,0,
8,C,C,95,0,
9,H,H,95,0,
10,A,A,95,0,
11,N,N,95,0,
12,G,G,95,0,
13,E,E,95,0,
14,O,O,96,0,
15,F,F,96,0,
16,C,C,96,0,
17,O,O,96,0,
18,M,M,96,0,
19,P,P,96,0,
20,A,A,96,0,
21,N,N,96,0,
22,Y,Y,96,0,
23,N,N,96,0,
24,A,A,96,0,
25,M,M,96,0,
26,E,E,96,0,
27,F,F,95,0,
28,o,o,95,0,
29,r,r,95,0,
30,t,t,95,0,
31,h,h,95,0,
32,e,e,95,0,
33,p,p,96,0,
34,u,u,96,0,
35,r,r,96,0,
36,p,p,96,0,
37,o,o,96,0,
38,s,s,96,0,
39,e,e,96,0,
40,s,s,96,0,
41,o,o,96,0,
42,f,f,96,0,
43,s,s,93,0,
44,e,e,93,0,
45,c,c,93,0,
46,t,t,93,0,
47,i,i,93,0,
48,o,o,93,0,
49,n,n,93,0,
50,s,s,93,0,
51,1,1,92,0,
52,0,0,92,0,
53,7,7,92,0,
54,(,(,92,0,
55,2,2,92,0,
56,),),92,0,
57,a,a,93,0,
58,n,n,93,0,
59,d,d,93,0,
60,7,7,89,0,
61,7,7,89,0,
62,0,0,89,0,
63,(,(,89,0,
64,2,2,89,0,
65,),),89,0,
66,o,o,96,0,
67,f,f,96,0,
68,C,C,96,0,
69,o,o,96,0,
70,m,m,96,0,
71,p,p,96,0,
72,a,a,96,0,
73,n,n,96,0,
74,i,i,96,0,
75,e,e,96,0,
76,s,s,96,0,
77,O,O,96,0,
78,r,r,96,0,
79,d,d,96,0,
80,i,i,96,0,
81,n,n,96,0,
82,a,a,96,0,
83,n,n,96,0,
84,c,c,96,0,
85,e,e,96,0,
86,(,(,96,0,
87,C,C,96,0,
88,a,a,96,0,
89,p,p,96,0,
90,6,6,96,0,
91,2,2,96,0,
92,2,2,96,0,
93,),),96,0,
94,N,N,96,0,
95,o,o,96,0,
96,t,t,96,0,
97,e,e,96,0,
98,s,s,96,0,
99,f,f,96,0,
100,o,o,96,0,
101,r,r,96,0,
102,C,C,95,0,
103,o,o,95,0,
104,m,m,95,0,
105,p,p,95,0,
106,l,l,95,0,
107,e,e,95,0,
108,t,t,95,0,
109,i,i,95,0,
110,o,o,95,0,
111,n,n,95,0,
112,o,o,96,0,
113,f,f,96,0,
114,F,F,92,0,
115,o,o,92,0,
116,r,r,92,0,
117,m,m,92,0,
118,N,N,90,0,
119,N,N,90,0,
120,C,C,90,0,
121,2,2,90,0,
122,I,I,96,0,
123,n,n,96,0,
124,t,t,96,0,
125,r,r,96,0,
126,o,o,96,0,
127,d,d,96,0,
128,u,u,96,0,
129,c,c,96,0,
130,t,t,96,0,
131,i,i,96,0,
132,o,o,96,0,
133,n,n,96,0,
134,1,,,1,
135,W,W,96,0,
136,h,h,96,0,
137,e,e,96,0,
138,r,r,96,0,
139,e,e,96,0,
140,a,a,95,0,
141,c,c,96,0,
142,o,o,96,0,
143,m,m,96,0,
144,p,p,96,0,
145,a,a,96,0,
146,n,n,96,0,
147,y,y,96,0,
148,p,p,96,0,
149,a,a,96,0,
150,s,s,96,0,
151,s,s,96,0,
152,e,e,96,0,
153,s,s,96,0,
154,a,a,96,0,
155,s,s,96,0,
156,p,p,96,0,
157,e,e,96,0,
158,c,c,96,0,
159,i,i,96,0,
160,a,a,96,0,
161,l,l,96,0,
162,r,r,96,0,
163,e,e,96,0,
164,s,s,96,0,
165,o,o,96,0,
166,l,l,96,0,
167,u,u,96,0,
168,t,t,96,0,
169,i,i,96,0,
170,o,o,96,0,
171,n,n,96,0,
172,c,c,96,0,
173,h,h,96,0,
174,a,a,96,0,
175,n,n,96,0,
176,g,g,96,0,
177,i,i,96,0,
178,n,n,96,0,
179,g,g,96,0,
180,i,i,96,0,
181,t,t,96,0,
182,s,s,96,0,
183,n,n,96,0,
184,a,a,96,0,
185,m,m,96,0,
186,e,e,96,0,
187,p,p,96,0,
188,u,u,96,0,
189,r,r,96,0,
190,s,s,96,0,
191,u,u,96,0,
192,a,a,96,0,
193,n,n,96,0,
194,t,t,96,0,
195,t,t,96,0,
196,o,o,96,0,
197,s,s,93,0,
198,e,e,93,0,
199,c,c,93,0,
200,t,t,93,0,
201,i,i,93,0,
202,o,o,93,0,
203,n,n,93,0,
204,1,1,92,0,
205,0,0,92,0,
206,7,7,92,0,
207,(,(,92,0,
208,2,2,92,0,
209,),),92,0,
210,o,o,96,0,
211,f,f,96,0,
212,t,t,96,0,
213,h,h,96,0,
214,e,e,96,0,
215,C,C,96,0,
216,o,o,96,0,
217,m,m,96,0,
218,p,p,96,0,
219,a,a,96,0,
220,n,n,96,0,
221,i,i,96,0,
222,e,e,96,0,
223,s,s,96,0,
224,O,O,96,0,
225,r,r,96,0,
226,d,d,96,0,
227,i,i,96,0,
228,n,n,96,0,
229,a,a,96,0,
230,n,n,96,0,
231,c,c,96,0,
232,e,e,96,0,
233,",",",",96,0,
234,t,t,96,0,
235,h,h,96,0,
236,e,e,96,0,
237,c,c,96,0,
238,o,o,96,0,
239,m,m,96,0,
240,p,p,96,0,
241,a,a,96,0,
242,n,n,96,0,
243,y,y,96,0,
244,m,m,96,0,
245,u,u,96,0,
246,s,s,96,0,
247,t,t,96,0,
248,d,d,96,0,
249,e,e,96,0,
250,l,l,96,0,
251,i,i,96,0,
252,v,v,96,0,
253,e,e,96,0,
254,r,r,96,0,
255,a,a,96,0,
256,n,n,96,0,
257,o,o,96,0,
258,t,t,96,0,
259,i,i,96,0,
260,c,c,96,0,
261,e,e,96,0,
262,o,o,96,0,
263,f,f,96,0,
264,t,t,96,0,
265,h,h,96,0,
266,e,e,96,0,
267,c,c,96,0,
268,h,h,96,0,
269,a,a,96,0,
270,n,n,96,0,
271,g,g,96,0,
272,e,e,96,0,
273,o,o,96,0,
274,f,f,96,0,
275,i,i,96,0,
276,t,t,96,0,
277,s,s,96,0,
278,n,n,96,0,
279,a,a,96,0,
280,m,m,96,0,
281,e,e,96,0,
282,i,i,96,0,
283,n,n,96,0,
284,t,t,96,0,
285,h,h,96,0,
286,i,i,96,0,
287,s,s,96,0,
288,f,f,95,0,
289,o,o,95,0,
290,r,r,95,0,
291,m,m,95,0,
292,t,t,95,0,
293,o,o,95,0,
294,t,t,96,0,
295,h,h,96,0,
296,e,e,96,0,
297,R,R,96,0,
298,e,e,96,0,
299,g,g,96,0,
300,i,i,96,0,
301,s,s,96,0,
302,t,t,96,0,
303,r,r,96,0,
304,a,a,96,0,
305,r,r,96,0,
306,o,o,95,0,
307,f,f,95,0,
308,C,C,95,0,
309,o,o,95,0,
310,m,m,95,0,
311,p,p,95,0,
312,a,a,95,0,
313,n,n,95,0,
314,i,i,95,0,
315,e,e,95,0,
316,s,s,95,0,
317,(,(,95,0,
318,t,t,95,0,
319,h,h,95,0,
320,e,e,95,0,
321,R,R,96,0,
322,e,e,96,0,
323,g,g,96,0,
324,i,i,96,0,
325,s,s,96,0,
326,t,t,96,0,
327,r,r,96,0,
328,a,a,96,0,
329,r,r,96,0,
330,),),96,0,
331,f,f,96,0,
332,o,o,96,0,
333,r,r,96,0,
334,r,r,96,0,
335,e,e,96,0,
336,g,g,96,0,
337,i,i,96,0,
338,s,s,96,0,
339,t,t,96,0,
340,r,r,96,0,
341,a,a,96,0,
342,t,t,96,0,
343,i,i,96,0,
344,o,o,96,0,
345,n,n,96,0,
346,w,w,96,0,
347,i,i,96,0,
348,t,t,96,0,
349,h,h,96,0,
350,i,i,96,0,
351,n,n,96,0,
352,1,1,96,0,
353,5,5,96,0,
354,d,d,96,0,
355,a,a,96,0,
356,y,y,96,0,
357,s,s,96,0,
358,a,a,96,0,
359,f,f,96,0,
360,t,t,96,0,
361,e,e,96,0,
362,r,r,96,0,
363,t,t,97,0,
364,h,h,97,0,
365,e,e,97,0,
366,d,d,96,0,
367,a,a,96,0,
368,t,t,96,0,
369,e,e,96,0,
370,o,o,96,0,
371,f,f,96,0,
372,p,p,96,0,
373,a,a,96,0,
374,s,s,96,0,
375,s,s,96,0,
376,i,i,96,0,
377,n,n,96,0,
378,g,g,96,0,
379,t,t,96,0,
380,h,h,96,0,
381,e,e,96,0,
382,r,r,96,0,
383,e,e,96,0,
384,s,s,96,0,
385,o,o,96,0,
386,l,l,96,0,
387,u,u,96,0,
388,t,t,96,0,
389,i,i,96,0,
390,o,o,96,0,
391,n,n,96,0,
392,W,W,96,0,
393,h,h,96,0,
394,e,e,96,0,
395,r,r,96,0,
396,e,e,96,0,
397,a,a,95,0,
398,c,c,95,0,
399,o,o,95,0,
400,m,m,95,0,
401,p,p,95,0,
402,a,a,95,0,
403,n,n,95,0,
404,y,y,95,0,
405,p,p,96,0,
406,a,a,96,0,
407,s,s,96,0,
408,s,s,96,0,
409,e,e,96,0,
410,s,s,96,0,
411,a,a,96,0,
412,s,s,96,0,
413,p,p,96,0,
414,e,e,96,0,
415,c,c,96,0,
416,i,i,96,0,
417,a,a,96,0,
418,l,l,96,0,
419,r,r,96,0,
420,e,e,96,0,
421,s,s,96,0,
422,o,o,96,0,
423,l,l,96,0,
424,u,u,96,0,
425,t,t,96,0,
426,i,i,96,0,
427,o,o,96,0,
428,n,n,96,0,
429,c,c,96,0,
430,h,h,96,0,
431,a,a,96,0,
432,n,n,96,0,
433,g,g,96,0,
434,i,i,96,0,
435,n,n,96,0,
436,g,g,96,0,
437,i,i,96,0,
438,t,t,96,0,
439,s,s,96,0,
440,n,n,96,0,
441,a,a,96,0,
442,m,m,96,0,
443,e,e,96,0,
444,p,p,96,0,
445,u,u,96,0,
446,r,r,96,0,
447,s,s,96,0,
448,u,u,96,0,
449,a,a,96,0,
450,n,n,96,0,
451,t,t,96,0,
452,t,t,96,0,
453,o,o,96,0,
454,s,s,93,0,
455,e,e,93,0,
456,c,c,93,0,
457,t,t,93,0,
458,i,i,93,0,
459,o,o,93,0,
460,n,n,93,0,
461,7,7,90,0,
462,7,7,90,0,
463,0,0,90,0,
464,(,(,90,0,
465,2,2,90,0,
466,),),90,0,
467,o,o,96,0,
468,f,f,96,0,
469,t,t,96,0,
470,h,h,96,0,
471,e,e,96,0,
472,C,C,96,0,
473,o,o,96,0,
474,m,m,96,0,
475,p,p,96,0,
476,a,a,96,0,
477,n,n,96,0,
478,i,i,96,0,
479,e,e,96,0,
480,s,s,96,0,
481,O,O,96,0,
482,r,r,96,0,
483,d,d,96,0,
484,i,i,96,0,
485,n,n,96,0,
486,a,a,96,0,
487,n,n,96,0,
488,c,c,96,0,
489,e,e,96,0,
490,",",",",96,0,
491,t,t,96,0,
492,h,h,96,0,
493,e,e,96,0,
494,c,c,96,0,
495,o,o,96,0,
496,m,m,96,0,
497,p,p,96,0,
498,a,a,96,0,
499,n,n,96,0,
500,y,y,96,0,
501,m,m,96,0,
502,u,u,96,0,
503,s,s,96,0,
504,t,t,96,0,
505,g,g,96,0,
506,i,i,96,0,
507,v,v,96,0,
508,e,e,96,0,
509,n,n,96,0,
510,o,o,96,0,
511,t,t,96,0,
512,i,i,96,0,
513,c,c,96,0,
514,e,e,96,0,
515,o,o,97,0,
516,f,f,97,0,
517,t,t,96,0,
518,h,h,96,0,
519,e,e,96,0,
520,c,c,96,0,
521,h,h,96,0,
522,a,a,96,0,
523,n,n,96,0,
524,g,g,96,0,
525,e,e,96,0,
526,o,o,96,0,
527,f,f,96,0,
528,i,i,96,0,
529,t,t,96,0,
530,s,s,96,0,
531,n,n,96,0,
532,a,a,96,0,
533,m,m,96,0,
534,e,e,96,0,
535,i,i,96,0,
536,n,n,96,0,
537,t,t,96,0,
538,h,h,96,0,
539,i,i,96,0,
540,s,s,96,0,
541,f,f,96,0,
542,o,o,96,0,
543,r,r,96,0,
544,m,m,96,0,
545,t,t,96,0,
546,o,o,96,0,
547,t,t,96,0,
548,h,h,96,0,
549,e,e,96,0,
550,R,R,96,0,
551,e,e,96,0,
552,g,g,96,0,
553,i,i,96,0,
554,s,s,96,0,
555,t,t,96,0,
556,r,r,96,0,
557,a,a,96,0,
558,r,r,96,0,
559,w,w,96,0,
560,i,i,96,0,
561,t,t,96,0,
562,h,h,96,0,
563,i,i,96,0,
564,n,n,96,0,
565,2,2,96,0,
566,8,8,96,0,
567,d,d,96,0,
568,a,a,96,0,
569,y,y,96,0,
570,s,s,96,0,
571,a,a,96,0,
572,f,f,96,0,
573,t,t,96,0,
574,e,e,96,0,
575,r,r,96,0,
576,t,t,96,0,
577,h,h,96,0,
578,e,e,96,0,
579,r,r,96,0,
580,e,e,96,0,
581,s,s,96,0,
582,t,t,96,0,
583,o,o,96,0,
584,r,r,96,0,
585,a,a,96,0,
586,t,t,96,0,
587,i,i,96,0,
588,o,o,96,0,
589,n,n,96,0,
590,o,o,97,0,
591,f,f,97,0,
592,t,t,96,0,
593,h,h,96,0,
594,e,e,96,0,
595,c,c,96,0,
596,o,o,96,0,
597,m,m,96,0,
598,p,p,96,0,
599,a,a,96,0,
600,n,n,96,0,
601,y,y,96,0,
602,2,,,1,
603,T,T,96,0,
604,h,h,96,0,
605,e,e,96,0,
606,s,s,96,0,
607,p,p,96,0,
608,e,e,96,0,
609,c,c,96,0,
610,i,i,96,0,
611,a,a,96,0,
612,l,l,96,0,
613,r,r,96,0,
614,e,e,96,0,
615,s,s,96,0,
616,o,o,96,0,
617,l,l,96,0,
618,u,u,96,0,
619,t,t,96,0,
620,i,i,96,0,
621,o,o,96,0,
622,n,n,96,0,
623,f,f,96,0,
624,o,o,96,0,
625,r,r,96,0,
626,c,c,96,0,
627,h,h,96,0,
628,a,a,96,0,
629,n,n,96,0,
630,g,g,96,0,
631,e,e,96,0,
632,o,o,96,0,
633,f,f,96,0,
634,c,c,96,0,
635,o,o,96,0,
636,m,m,96,0,
637,p,p,96,0,
638,a,a,96,0,
639,n,n,96,0,
640,y,y,96,0,
641,n,n,96,0,
642,a,a,96,0,
643,m,m,96,0,
644,e,e,96,0,
645,i,i,95,0,
646,s,s,95,0,
647,n,n,96,0,
648,o,o,96,0,
649,t,t,96,0,
650,r,r,96,0,
651,e,e,96,0,
652,q,q,96,0,
653,u,u,96,0,
654,i,i,96,0,
655,r,r,96,0,
656,e,e,96,0,
657,d,d,96,0,
658,f,f,96,0,
659,o,o,96,0,
660,r,r,96,0,
661,f,f,95,0,
662,i,i,95,0,
663,l,l,95,0,
664,i,i,95,0,
665,n,n,95,0,
666,g,g,95,0,
667,w,w,95,0,
668,i,i,95,0,
669,t,t,95,0,
670,h,h,95,0,
671,t,t,96,0,
672,h,h,96,0,
673,e,e,96,0,
674,C,C,96,0,
675,o,o,96,0,
676,m,m,96,0,
677,p,p,96,0,
678,a,a,96,0,
679,n,n,96,0,
680,i,i,96,0,
681,e,e,96,0,
682,s,s,96,0,
683,R,R,95,0,
684,e,e,95,0,
685,g,g,95,0,
686,i,i,95,0,
687,s,s,95,0,
688,t,t,95,0,
689,r,r,95,0,
690,y,y,95,0,
691,3,,,1,
692,T,T,96,0,
693,r,r,96,0,
694,a,a,96,0,
695,d,d,96,0,
696,i,i,96,0,
697,t,t,96,0,
698,i,i,96,0,
699,o,o,96,0,
700,n,n,96,0,
701,a,a,96,0,
702,l,l,96,0,
703,C,C,96,0,
704,h,h,96,0,
705,i,i,96,0,
706,n,n,96,0,
707,e,e,96,0,
708,s,s,96,0,
709,e,e,96,0,
710,c,c,96,0,
711,h,h,96,0,
712,a,a,96,0,
713,r,r,96,0,
714,a,a,96,0,
715,c,c,96,0,
716,t,t,96,0,
717,e,e,96,0,
718,r,r,96,0,
719,s,s,96,0,
720,s,s,96,0,
721,h,h,96,0,
722,o,o,96,0,
723,u,u,96,0,
724,l,l,96,0,
725,d,d,96,0,
726,b,b,96,0,
727,e,e,96,0,
728,u,u,96,0,
729,s,s,96,0,
730,e,e,96,0,
731,d,d,96,0,
732,i,i,96,0,
733,f,f,96,0,
734,t,t,96,0,
735,h,h,96,0,
736,e,e,96,0,
737,f,f,96,0,
738,o,o,96,0,
739,r,r,96,0,
740,m,m,96,0,
741,i,i,96,0,
742,s,s,96,0,
743,c,c,96,0,
744,o,o,96,0,
745,m,m,96,0,
746,p,p,96,0,
747,l,l,96,0,
748,e,e,96,0,
749,t,t,96,0,
750,e,e,96,0,
751,d,d,96,0,
752,i,i,96,0,
753,n,n,96,0,
754,C,C,96,0,
755,h,h,96,0,
756,i,i,96,0,
757,n,n,96,0,
758,e,e,96,0,
759,s,s,96,0,
760,e,e,96,0,
761,P,P,96,0,
762,l,l,96,0,
763,e,e,96,0,
764,a,a,96,0,
765,s,s,96,0,
766,e,e,96,0,
767,n,n,96,0,
768,o,o,96,0,
769,t,t,96,0,
770,e,e,96,0,
771,t,t,96,0,
772,h,h,96,0,
773,a,a,96,0,
774,t,t,96,0,
775,h,h,96,0,
776,a,a,96,0,
777,n,n,96,0,
778,d,d,96,0,
779,w,w,96,0,
780,r,r,96,0,
781,i,i,96,0,
782,t,t,96,0,
783,t,t,96,0,
784,e,e,96,0,
785,n,n,96,0,
786,f,f,96,0,
787,o,o,96,0,
788,r,r,96,0,
789,m,m,96,0,
790,s,s,96,0,
791,m,m,96,0,
792,a,a,96,0,
793,y,y,96,0,
794,b,b,96,0,
795,e,e,96,0,
796,r,r,96,0,
797,e,e,96,0,
798,j,j,96,0,
799,e,e,96,0,
800,c,c,96,0,
801,t,t,96,0,
802,e,e,96,0,
803,d,d,96,0,
804,b,b,96,0,
805,y,y,96,0,
806,t,t,96,0,
807,h,h,96,0,
808,e,e,96,0,
809,C,C,96,0,
810,o,o,96,0,
811,m,m,96,0,
812,p,p,96,0,
813,a,a,96,0,
814,n,n,96,0,
815,i,i,96,0,
816,e,e,96,0,
817,s,s,96,0,
818,R,R,96,0,
819,e,e,96,0,
820,g,g,96,0,
821,i,i,96,0,
822,s,s,96,0,
823,t,t,96,0,
824,r,r,96,0,
825,y,y,96,0,
826,4,,,1,
827,P,P,96,0,
828,l,l,96,0,
829,e,e,96,0,
830,a,a,96,0,
831,s,s,96,0,
832,e,e,96,0,
833,c,c,96,0,
834,o,o,96,0,
835,m,m,96,0,
836,p,p,96,0,
837,l,l,96,0,
838,e,e,96,0,
839,t,t,96,0,
840,e,e,96,0,
841,t,t,93,0,
842,h,h,93,0,
843,e,e,93,0,
844,P,P,91,0,
845,r,r,91,0,
846,e,e,91,0,
847,s,s,91,0,
848,e,e,91,0,
849,n,n,91,0,
850,t,t,91,0,
851,o,o,91,0,
852,r,r,91,0,
853,',',91,0,
854,s,s,91,0,
855,R,R,96,0,
856,e,e,96,0,
857,f,f,96,0,
858,e,e,96,0,
859,r,r,96,0,
860,e,e,96,0,
861,n,n,96,0,
862,c,c,96,0,
863,e,e,96,0,
864,U,U,86,0,
865,n,n,86,0,
866,l,l,86,0,
867,e,e,86,0,
868,s,s,86,0,
869,s,s,86,0,
870,t,t,93,0,
871,h,h,93,0,
872,e,e,93,0,
873,p,p,91,0,
874,r,r,91,0,
875,e,e,91,0,
876,s,s,91,0,
877,e,e,91,0,
878,n,n,91,0,
879,t,t,91,0,
880,o,o,91,0,
881,r,r,91,0,
882,n,n,96,0,
883,e,e,96,0,
884,e,e,96,0,
885,d,d,96,0,
886,s,s,96,0,
887,t,t,96,0,
888,o,o,96,0,
889,r,r,96,0,
890,a,a,96,0,
891,i,i,96,0,
892,s,s,96,0,
893,e,e,96,0,
894,a,a,96,0,
895,s,s,96,0,
896,p,p,96,0,
897,e,e,96,0,
898,c,c,96,0,
899,i,i,96,0,
900,f,f,96,0,
901,i,i,96,0,
902,c,c,96,0,
903,i,i,96,0,
904,s,s,96,0,
905,s,s,96,0,
906,u,u,96,0,
907,e,e,96,0,
908,f,f,96,0,
909,o,o,96,0,
910,r,r,96,0,
911,t,t,96,0,
912,h,h,96,0,
913,e,e,96,0,
914,a,a,96,0,
915,t,t,96,0,
916,t,t,96,0,
917,e,e,96,0,
918,n,n,96,0,
919,t,t,96,0,
920,i,i,96,0,
921,o,o,96,0,
922,n,n,96,0,
923,o,o,97,0,
924,f,f,97,0,
925,t,t,96,0,
926,h,h,96,0,
927,e,e,96,0,
928,C,C,96,0,
929,o,o,96,0,
930,m,m,96,0,
931,p,p,96,0,
932,a,a,96,0,
933,n,n,96,0,
934,i,i,96,0,
935,e,e,96,0,
936,s,s,96,0,
937,R,R,96,0,
938,e,e,96,0,
939,g,g,96,0,
940,i,i,96,0,
941,s,s,96,0,
942,t,t,96,0,
943,r,r,96,0,
944,y,y,96,0,
945,",",",",96,0,
946,n,n,96,0,
947,o,o,96,0,
948,c,c,96,0,
949,o,o,96,0,
950,v,v,96,0,
951,e,e,96,0,
952,r,r,96,0,
953,i,i,96,0,
954,n,n,96,0,
955,g,g,96,0,
956,l,l,96,0,
957,e,e,96,0,
958,t,t,96,0,
959,t,t,96,0,
960,e,e,96,0,
961,r,r,96,0,
962,i,i,96,0,
963,s,s,96,0,
964,r,r,96,0,
965,e,e,96,0,
966,q,q,96,0,
967,u,u,96,0,
968,i,i,96,0,
969,r,r,96,0,
970,e,e,96,0,
971,d,d,96,0,
972,5,,,1,
973,T,T,96,0,
974,h,h,96,0,
975,i,i,96,0,
976,s,s,96,0,
977,f,f,95,0,
978,o,o,95,0,
979,r,r,95,0,
980,m,m,95,0,
981,c,c,95,0,
982,a,a,95,0,
983,n,n,95,0,
984,b,b,96,0,
985,e,e,96,0,
986,d,d,96,0,
987,e,e,96,0,
988,l,l,96,0,
989,i,i,96,0,
990,v,v,96,0,
991,e,e,96,0,
992,r,r,96,0,
993,e,e,96,0,
994,d,d,96,0,
995,b,b,96,0,
996,y,y,96,0,
997,p,p,95,0,
998,o,o,95,0,
999,s,s,95,0,
1000,t,t,95,0,
1001,o,o,96,0,
1002,r,r,96,0,
1003,i,i,96,0,
1004,n,n,96,0,
1005,p,p,96,0,
1006,e,e,96,0,
1007,r,r,96,0,
1008,s,s,96,0,
1009,o,o,96,0,
1010,n,n,96,0,
1011,t,t,95,0,
1012,o,o,95,0,
1013,"""","""",95,0,
1014,T,T,95,0,
1015,h,h,95,0,
1016,e,e,95,0,
1017,C,C,95,0,
1018,o,o,95,0,
1019,m,m,95,0,
1020,p,p,95,0,
1021,a,a,95,0,
1022,n,n,95,0,
1023,i,i,95,0,
