,word data,ocr data,conf,check,ocr time
0,2,2,96,0,50.67204666
1,0,0,96,0,
2,2,2,96,0,
3,1,1,96,0,
4,2,2,96,0,
5,2,2,96,0,
6,B,B,96,0,
7,u,u,96,0,
8,d,d,96,0,
9,g,g,96,0,
10,e,e,96,0,
11,t,t,96,0,
12,(,(,24,0,
13,1,1,24,0,
14,),),24,0,
15,I,I,95,0,
16,n,n,95,0,
17,t,t,95,0,
18,r,r,95,0,
19,o,o,95,0,
20,d,d,95,0,
21,u,u,95,0,
22,c,c,95,0,
23,t,t,95,0,
24,i,i,95,0,
25,o,o,95,0,
26,n,n,95,0,
27,T,T,96,0,
28,h,h,96,0,
29,e,e,96,0,
30,2,2,96,0,
31,0,0,96,0,
32,2,2,96,0,
33,1,1,96,0,
34,2,2,96,0,
35,2,2,96,0,
36,B,B,96,0,
37,u,u,96,0,
38,d,d,96,0,
39,g,g,96,0,
40,e,e,96,0,
41,t,t,96,0,
42,c,c,96,0,
43,o,o,96,0,
44,n,n,96,0,
45,t,t,96,0,
46,i,i,96,0,
47,n,n,96,0,
48,u,u,96,0,
49,e,e,96,0,
50,s,s,96,0,
51,t,t,96,0,
52,o,o,96,0,
53,i,i,93,0,
54,n,n,93,0,
55,t,t,93,0,
56,r,r,93,0,
57,o,o,93,0,
58,d,d,93,0,
59,u,u,93,0,
60,c,c,93,0,
61,e,e,93,0,
62,c,c,92,0,
63,o,o,92,0,
64,u,u,92,0,
65,n,n,92,0,
66,t,t,92,0,
67,e,e,92,0,
68,r,r,92,0,
69,c,c,92,0,
70,y,y,92,0,
71,c,c,92,0,
72,l,l,92,0,
73,i,i,92,0,
74,c,c,92,0,
75,a,a,92,0,
76,l,l,92,0,
77,m,m,96,0,
78,e,e,96,0,
79,a,a,96,0,
80,s,s,96,0,
81,u,u,96,0,
82,r,r,96,0,
83,e,e,96,0,
84,s,s,96,0,
85,t,t,96,0,
86,o,o,96,0,
87,a,a,96,0,
88,l,l,96,0,
89,l,l,96,0,
90,e,e,96,0,
91,v,v,96,0,
92,i,i,96,0,
93,a,a,96,0,
94,t,t,96,0,
95,e,e,96,0,
96,t,t,96,0,
97,h,h,96,0,
98,e,e,96,0,
99,p,p,96,0,
100,r,r,96,0,
101,e,e,96,0,
102,s,s,96,0,
103,s,s,96,0,
104,u,u,96,0,
105,r,r,96,0,
106,e,e,96,0,
107,c,c,96,0,
108,a,a,96,0,
109,u,u,96,0,
110,s,s,96,0,
111,e,e,96,0,
112,d,d,96,0,
113,b,b,96,0,
