,word data,ocr data,conf,check,ocr time
0,T,T,96,0,109.5652781
1,H,H,96,0,
2,E,E,96,0,
3,2,2,94,0,
4,0,0,94,0,
5,1,1,94,0,
6,6,6,94,0,
7,1,1,94,0,
8,7,7,94,0,
9,B,B,95,0,
10,U,U,95,0,
11,D,D,95,0,
12,G,G,95,0,
13,E,E,95,0,
14,T,T,95,0,
15,S,S,96,0,
16,p,p,96,0,
17,e,e,96,0,
18,e,e,96,0,
19,c,c,96,0,
20,h,h,96,0,
21,b,b,96,0,
22,y,y,96,0,
23,t,t,96,0,
24,h,h,96,0,
25,e,e,96,0,
26,F,F,96,0,
27,i,i,96,0,
28,n,n,96,0,
29,a,a,96,0,
30,n,n,96,0,
31,c,c,96,0,
32,i,i,96,0,
33,a,a,96,0,
34,l,l,96,0,
35,S,S,96,0,
36,e,e,96,0,
37,c,c,96,0,
38,r,r,96,0,
39,e,e,96,0,
40,t,t,96,0,
41,a,a,96,0,
42,r,r,96,0,
43,y,y,96,0,
44,",",",",96,0,
45,t,t,96,0,
46,h,h,96,0,
47,e,e,96,0,
48,H,H,96,0,
49,o,o,96,0,
50,n,n,96,0,
51,J,J,93,0,
52,o,o,93,0,
53,h,h,93,0,
54,n,n,93,0,
55,C,C,92,0,
56,T,T,96,0,
57,s,s,96,0,
58,a,a,96,0,
59,n,n,96,0,
60,g,g,96,0,
61,m,m,96,0,
62,o,o,96,0,
63,v,v,96,0,
64,i,i,96,0,
65,n,n,96,0,
66,g,g,96,0,
67,t,t,96,0,
68,h,h,96,0,
69,e,e,96,0,
70,S,S,96,0,
71,e,e,96,0,
72,c,c,96,0,
73,o,o,96,0,
74,n,n,96,0,
75,d,d,96,0,
76,R,R,96,0,
77,e,e,96,0,
78,a,a,96,0,
79,d,d,96,0,
80,i,i,96,0,
81,n,n,96,0,
82,g,g,96,0,
83,o,o,96,0,
84,f,f,96,0,
85,t,t,96,0,
86,h,h,96,0,
87,e,e,96,0,
88,A,A,96,0,
89,p,p,96,0,
90,p,p,96,0,
91,r,r,96,0,
92,o,o,96,0,
93,p,p,96,0,
94,r,r,96,0,
95,i,i,96,0,
96,a,a,96,0,
97,t,t,96,0,
98,i,i,96,0,
99,o,o,96,0,
100,n,n,96,0,
101,B,B,96,0,
102,i,i,96,0,
103,l,l,96,0,
104,l,l,96,0,
105,2,2,96,0,
106,0,0,96,0,
107,1,1,96,0,
108,6,6,96,0,
109,W,W,96,0,
110,e,e,96,0,
111,d,d,96,0,
112,n,n,96,0,
113,e,e,96,0,
114,s,s,96,0,
115,d,d,96,0,
116,a,a,96,0,
117,y,y,96,0,
118,",",",",96,0,
119,2,2,96,0,
120,4,4,96,0,
121,F,F,96,0,
122,e,e,96,0,
123,b,b,96,0,
124,r,r,96,0,
125,u,u,96,0,
126,a,a,96,0,
127,r,r,96,0,
128,y,y,96,0,
129,2,2,96,0,
130,0,0,96,0,
131,1,1,96,0,
132,6,6,96,0,
133,C,C,96,0,
134,o,o,96,0,
135,n,n,96,0,
136,t,t,96,0,
137,e,e,96,0,
138,n,n,96,0,
139,t,t,96,0,
140,s,s,96,0,
141,P,P,96,0,
142,a,a,96,0,
143,r,r,96,0,
144,a,a,96,0,
145,g,g,96,0,
146,r,r,96,0,
147,a,a,96,0,
148,p,p,96,0,
149,h,h,96,0,
150,s,s,96,0,
151,I,I,96,0,
152,n,n,96,0,
153,t,t,96,0,
154,r,r,96,0,
155,o,o,96,0,
156,d,d,96,0,
157,u,u,96,0,
158,c,c,96,0,
159,t,t,96,0,
160,i,i,96,0,
161,o,o,96,0,
162,n,n,96,0,
163,2,2,87,0,
164,1,1,95,0,
165,0,0,95,0,
166,E,E,96,0,
167,c,c,96,0,
168,o,o,96,0,
169,n,n,96,0,
170,o,o,96,0,
171,m,m,96,0,
172,i,i,96,0,
173,c,c,96,0,
174,P,P,96,0,
175,e,e,96,0,
176,r,r,96,0,
177,f,f,96,0,
178,o,o,96,0,
179,r,r,96,0,
180,m,m,96,0,
181,a,a,96,0,
182,n,n,96,0,
183,c,c,96,0,
184,e,e,96,0,
185,i,i,96,0,
186,n,n,96,0,
187,2,2,96,0,
188,0,0,96,0,
189,1,1,96,0,
190,5,5,96,0,
191,1,1,52,0,
192,1,1,52,0,
193,1,1,52,0,
194,4,4,52,0,
195,E,E,96,0,
196,c,c,96,0,
197,o,o,96,0,
198,n,n,96,0,
199,o,o,96,0,
200,m,m,96,0,
201,i,i,96,0,
202,c,c,96,0,
203,O,O,96,0,
204,u,u,96,0,
205,t,t,96,0,
206,l,l,96,0,
207,o,o,96,0,
208,o,o,96,0,
209,k,k,96,0,
210,f,f,96,0,
211,o,o,96,0,
212,r,r,96,0,
213,2,2,96,0,
214,0,0,96,0,
215,1,1,96,0,
216,6,6,96,0,
217,1,1,55,0,
218,5,5,55,0,
219,1,1,95,0,
220,9,9,95,0,
221,S,S,96,0,
222,u,u,96,0,
223,p,p,96,0,
224,p,p,96,0,
225,o,o,96,0,
226,r,r,96,0,
227,t,t,96,0,
228,M,M,96,0,
229,e,e,96,0,
230,a,a,96,0,
231,s,s,96,0,
232,u,u,96,0,
233,r,r,96,0,
234,e,e,96,0,
235,s,s,96,0,
236,2,2,97,0,
237,0,0,97,0,
238,H,H,96,0,
239,e,e,96,0,
240,l,l,96,0,
241,p,p,96,0,
242,i,i,96,0,
243,n,n,96,0,
244,g,g,96,0,
245,S,S,96,0,
246,m,m,96,0,
247,a,a,96,0,
248,l,l,96,0,
249,l,l,96,0,
250,a,a,96,0,
251,n,n,96,0,
252,d,d,96,0,
253,M,M,96,0,
