,word data,ocr data,conf,check,ocr time
0,A,A,95,0,7.128021002
1,P,P,95,0,
2,P,P,95,0,
3,L,L,95,0,
4,I,I,95,0,
5,C,C,95,0,
6,A,A,95,0,
7,T,T,95,0,
8,I,I,95,0,
9,O,O,95,0,
10,N,N,95,0,
11,F,F,93,0,
12,O,O,93,0,
13,R,R,93,0,
14,D,D,91,0,
15,E,E,91,0,
16,R,R,91,0,
17,E,E,91,0,
18,G,G,91,0,
19,I,I,91,0,
20,S,S,91,0,
21,T,T,91,0,
22,R,R,91,0,
23,A,A,91,0,
24,T,T,91,0,
25,I,I,91,0,
26,O,O,91,0,
27,N,N,91,0,
28,O,O,96,0,
29,F,F,96,0,
30,P,P,96,0,
31,R,R,96,0,
32,I,I,96,0,
33,V,V,96,0,
34,A,A,96,0,
35,T,T,96,0,
36,E,E,96,0,
37,C,C,96,0,
38,O,O,96,0,
39,M,M,96,0,
40,P,P,96,0,
41,A,A,96,0,
42,N,N,96,0,
43,Y,Y,96,0,
44,O,O,95,0,
45,R,R,95,0,
46,C,C,95,0,
47,O,O,95,0,
48,M,M,95,0,
49,P,P,95,0,
50,A,A,95,0,
51,N,N,95,0,
52,Y,Y,95,0,
53,L,L,96,0,
54,I,I,96,0,
55,M,M,96,0,
56,I,I,96,0,
57,T,T,96,0,
58,E,E,96,0,
59,D,D,96,0,
60,B,B,95,0,
61,Y,Y,95,0,
62,G,G,95,0,
63,U,U,95,0,
64,A,A,95,0,
65,R,R,95,0,
66,A,A,95,0,
67,N,N,95,0,
68,T,T,95,0,
69,E,E,95,0,
70,E,E,95,0,
71,F,F,96,0,
72,o,o,96,0,
73,r,r,96,0,
74,t,t,96,0,
75,h,h,96,0,
76,e,e,96,0,
77,p,p,96,0,
78,u,u,96,0,
79,r,r,96,0,
80,p,p,96,0,
81,o,o,96,0,
82,s,s,96,0,
83,e,e,96,0,
84,s,s,96,0,
85,o,o,96,0,
86,f,f,96,0,
87,s,s,96,0,
88,e,e,96,0,
89,c,c,96,0,
90,t,t,96,0,
91,i,i,96,0,
92,o,o,96,0,
93,n,n,96,0,
94,7,7,96,0,
95,5,5,96,0,
96,0,0,96,0,
97,o,o,96,0,
98,f,f,96,0,
99,C,C,96,0,
100,o,o,96,0,
101,m,m,96,0,
102,p,p,96,0,
103,a,a,96,0,
104,n,n,96,0,
105,i,i,96,0,
106,e,e,96,0,
107,s,s,96,0,
108,O,O,96,0,
109,r,r,96,0,
110,d,d,96,0,
111,i,i,96,0,
112,n,n,96,0,
113,a,a,96,0,
114,n,n,96,0,
115,c,c,96,0,
116,e,e,96,0,
117,(,(,96,0,
118,C,C,96,0,
119,a,a,96,0,
120,p,p,96,0,
121,6,6,96,0,
122,2,2,96,0,
123,2,2,96,0,
124,),),96,0,
125,N,N,96,0,
126,o,o,96,0,
127,t,t,96,0,
128,e,e,96,0,
129,s,s,96,0,
130,f,f,94,0,
131,o,o,94,0,
132,r,r,94,0,
133,C,C,94,0,
134,o,o,94,0,
135,m,m,94,0,
136,p,p,94,0,
137,l,l,94,0,
138,e,e,94,0,
139,t,t,94,0,
140,i,i,94,0,
141,o,o,94,0,
142,n,n,94,0,
143,o,o,96,0,
144,f,f,96,0,
145,F,F,93,0,
146,o,o,93,0,
147,r,r,93,0,
148,m,m,93,0,
149,N,N,89,0,
150,D,D,89,0,
151,R,R,89,0,
152,1,1,89,0,
153,I,I,96,0,
154,n,n,96,0,
155,t,t,96,0,
156,r,r,96,0,
157,o,o,96,0,
158,d,d,96,0,
159,u,u,96,0,
160,c,c,96,0,
161,t,t,96,0,
162,i,i,96,0,
163,o,o,96,0,
164,n,n,96,0,
165,1,1,90,0,
166,T,T,96,0,
167,h,h,96,0,
168,i,i,96,0,
169,s,s,96,0,
170,f,f,96,0,
171,o,o,96,0,
172,r,r,96,0,
173,m,m,96,0,
174,s,s,96,0,
175,h,h,96,0,
176,o,o,96,0,
177,u,u,96,0,
178,l,l,96,0,
179,d,d,96,0,
180,b,b,96,0,
181,e,e,96,0,
182,u,u,96,0,
183,s,s,96,0,
184,e,e,96,0,
185,d,d,96,0,
186,f,f,95,0,
187,o,o,95,0,
188,r,r,95,0,
189,a,a,95,0,
190,p,p,95,0,
191,p,p,95,0,
192,l,l,95,0,
193,y,y,95,0,
194,i,i,95,0,
195,n,n,95,0,
196,g,g,95,0,
197,t,t,96,0,
198,o,o,96,0,
199,t,t,96,0,
200,h,h,96,0,
201,e,e,96,0,
202,R,R,96,0,
203,e,e,96,0,
204,g,g,96,0,
205,i,i,96,0,
206,s,s,96,0,
207,t,t,96,0,
208,r,r,96,0,
209,a,a,96,0,
210,r,r,96,0,
211,o,o,96,0,
212,f,f,96,0,
213,C,C,96,0,
214,o,o,96,0,
215,m,m,96,0,
216,p,p,96,0,
217,a,a,96,0,
218,n,n,96,0,
219,i,i,96,0,
220,e,e,96,0,
221,s,s,96,0,
222,(,(,96,0,
223,t,t,96,0,
224,h,h,96,0,
225,e,e,96,0,
226,R,R,95,0,
227,e,e,95,0,
228,g,g,95,0,
229,i,i,95,0,
230,s,s,95,0,
231,t,t,95,0,
232,r,r,95,0,
233,a,a,95,0,
234,r,r,95,0,
235,),),95,0,
236,f,f,96,0,
237,o,o,96,0,
238,r,r,96,0,
239,t,t,96,0,
240,h,h,96,0,
241,e,e,96,0,
242,d,d,92,0,
243,e,e,92,0,
244,r,r,92,0,
245,e,e,92,0,
246,g,g,92,0,
247,i,i,92,0,
248,s,s,92,0,
249,t,t,92,0,
250,r,r,92,0,
251,a,a,92,0,
252,t,t,92,0,
253,i,i,92,0,
254,o,o,92,0,
255,n,n,92,0,
256,o,o,96,0,
257,f,f,96,0,
258,a,a,96,0,
259,p,p,96,0,
260,r,r,96,0,
261,i,i,96,0,
262,v,v,96,0,
263,a,a,96,0,
264,t,t,96,0,
265,e,e,96,0,
266,c,c,96,0,
267,o,o,96,0,
268,m,m,96,0,
269,p,p,96,0,
270,a,a,96,0,
271,n,n,96,0,
272,y,y,96,0,
273,o,o,96,0,
274,r,r,96,0,
275,a,a,94,0,
276,c,c,94,0,
277,o,o,94,0,
278,m,m,94,0,
279,p,p,94,0,
280,a,a,94,0,
281,n,n,94,0,
282,y,y,94,0,
283,l,l,96,0,
284,i,i,96,0,
285,m,m,96,0,
286,i,i,96,0,
287,t,t,96,0,
288,e,e,96,0,
289,d,d,96,0,
290,b,b,96,0,
291,y,y,96,0,
292,g,g,96,0,
293,u,u,96,0,
294,a,a,96,0,
295,r,r,96,0,
296,a,a,96,0,
297,n,n,96,0,
298,t,t,96,0,
299,e,e,96,0,
300,e,e,96,0,
301,u,u,96,0,
302,n,n,96,0,
303,d,d,96,0,
304,e,e,96,0,
305,r,r,96,0,
306,s,s,96,0,
307,e,e,96,0,
308,c,c,96,0,
309,t,t,96,0,
310,i,i,96,0,
311,o,o,96,0,
312,n,n,96,0,
313,7,7,96,0,
314,5,5,96,0,
315,0,0,96,0,
316,o,o,96,0,
317,f,f,96,0,
318,t,t,96,0,
319,h,h,96,0,
320,e,e,96,0,
321,C,C,96,0,
322,o,o,96,0,
323,m,m,96,0,
324,p,p,96,0,
325,a,a,96,0,
326,n,n,96,0,
327,i,i,96,0,
328,e,e,96,0,
329,s,s,96,0,
330,O,O,92,0,
331,r,r,92,0,
332,d,d,92,0,
333,i,i,92,0,
334,n,n,92,0,
335,a,a,92,0,
336,n,n,92,0,
337,c,c,92,0,
338,e,e,92,0,
339,S,S,95,0,
340,e,e,95,0,
341,c,c,95,0,
342,t,t,95,0,
343,i,i,95,0,
344,o,o,95,0,
345,n,n,95,0,
346,7,7,96,0,
347,5,5,96,0,
348,0,0,96,0,
349,",",",",96,0,
350,h,h,96,0,
351,o,o,96,0,
352,w,w,96,0,
353,e,e,96,0,
354,v,v,96,0,
355,e,e,96,0,
356,r,r,96,0,
357,",",",",96,0,
358,d,d,96,0,
359,o,o,96,0,
360,e,e,96,0,
361,s,s,96,0,
362,n,n,96,0,
363,o,o,96,0,
364,t,t,96,0,
365,a,a,96,0,
366,p,p,96,0,
367,p,p,96,0,
368,l,l,96,0,
369,y,y,96,0,
370,t,t,95,0,
371,o,o,95,0,
372,t,t,96,0,
373,h,h,96,0,
374,e,e,96,0,
375,f,f,96,0,
376,o,o,96,0,
377,l,l,96,0,
378,l,l,96,0,
379,o,o,96,0,
380,w,w,96,0,
381,i,i,96,0,
382,n,n,96,0,
383,g,g,96,0,
384,c,c,93,0,
385,o,o,93,0,
386,m,m,93,0,
387,p,p,93,0,
388,a,a,93,0,
389,n,n,93,0,
390,i,i,93,0,
391,e,e,93,0,
392,s,s,93,0,
393,—,—,92,0,
394,(,(,87,0,
395,a,a,87,0,
396,),),87,0,
397,a,a,22,0,
398,p,p,22,0,
399,u,u,22,0,
400,b,b,22,0,
401,l,l,22,0,
402,i,i,22,0,
403,c,c,22,0,
404,c,c,95,0,
405,o,o,95,0,
406,m,m,95,0,
407,p,p,95,0,
408,a,a,95,0,
409,n,n,95,0,
410,y,y,95,0,
411,;,;,95,0,
412,(,(,92,0,
413,b,b,92,0,
414,),),92,0,
415,a,a,49,0,
416,n,n,49,0,
417,a,a,91,0,
418,u,u,91,0,
419,t,t,91,0,
420,h,h,91,0,
421,o,o,91,0,
422,r,r,91,0,
423,i,i,91,0,
424,z,z,91,0,
425,e,e,91,0,
426,d,d,91,0,
427,i,i,96,0,
428,n,n,96,0,
429,s,s,96,0,
430,t,t,96,0,
431,i,i,96,0,
432,t,t,96,0,
433,u,u,96,0,
434,t,t,96,0,
435,i,i,96,0,
436,o,o,96,0,
