,word data,ocr data,conf,check,ocr time
0,N,N,96,0,2.241958141
1,O,O,96,0,
2,T,T,96,0,
3,I,I,96,0,
4,C,C,96,0,
5,E,E,96,0,
6,O,O,95,0,
7,F,F,95,0,
8,C,C,95,0,
9,H,H,95,0,
10,A,A,95,0,
11,N,N,95,0,
12,G,G,95,0,
13,E,E,95,0,
14,O,O,96,0,
15,F,F,96,0,
16,A,A,95,0,
17,D,D,95,0,
18,D,D,95,0,
19,R,R,95,0,
20,E,E,95,0,
21,S,S,95,0,
22,S,S,95,0,
23,O,O,95,0,
24,F,F,95,0,
25,R,R,96,0,
26,E,E,96,0,
27,G,G,96,0,
28,I,I,96,0,
29,S,S,96,0,
30,T,T,96,0,
31,E,E,96,0,
32,R,R,96,0,
33,E,E,96,0,
34,D,D,96,0,
35,O,O,96,0,
36,F,F,96,0,
37,F,F,96,0,
38,I,I,96,0,
39,C,C,96,0,
40,E,E,96,0,
41,F,F,96,0,
42,o,o,96,0,
43,r,r,96,0,
44,t,t,96,0,
45,h,h,96,0,
46,e,e,96,0,
47,p,p,96,0,
48,u,u,96,0,
49,r,r,96,0,
50,p,p,96,0,
51,o,o,96,0,
52,s,s,96,0,
53,e,e,96,0,
54,s,s,96,0,
55,o,o,96,0,
56,f,f,96,0,
57,s,s,93,0,
58,e,e,93,0,
59,c,c,93,0,
60,t,t,93,0,
61,i,i,93,0,
62,o,o,93,0,
63,n,n,93,0,
64,6,6,91,0,
65,5,5,91,0,
66,8,8,91,0,
67,(,(,91,0,
68,3,3,91,0,
69,),),91,0,
70,o,o,96,0,
71,f,f,96,0,
72,C,C,96,0,
73,o,o,96,0,
74,m,m,96,0,
75,p,p,96,0,
76,a,a,96,0,
77,n,n,96,0,
78,i,i,96,0,
79,e,e,96,0,
80,s,s,96,0,
81,O,O,96,0,
82,r,r,96,0,
83,d,d,96,0,
84,i,i,96,0,
85,n,n,96,0,
86,a,a,96,0,
87,n,n,96,0,
88,c,c,96,0,
89,e,e,96,0,
90,(,(,96,0,
91,C,C,96,0,
92,a,a,96,0,
93,p,p,96,0,
94,6,6,96,0,
95,2,2,96,0,
96,2,2,96,0,
97,),),96,0,
98,N,N,96,0,
99,o,o,96,0,
100,t,t,96,0,
101,e,e,96,0,
102,s,s,96,0,
103,f,f,95,0,
104,o,o,95,0,
105,r,r,95,0,
106,C,C,95,0,
107,o,o,95,0,
108,m,m,95,0,
109,p,p,95,0,
110,l,l,95,0,
111,e,e,95,0,
112,t,t,95,0,
113,i,i,95,0,
114,o,o,95,0,
115,n,n,95,0,
116,o,o,96,0,
117,f,f,96,0,
118,F,F,93,0,
119,o,o,93,0,
120,r,r,93,0,
121,m,m,93,0,
122,N,N,91,0,
123,R,R,91,0,
124,1,1,91,0,
125,I,I,96,0,
126,n,n,96,0,
127,t,t,96,0,
128,r,r,96,0,
129,o,o,96,0,
130,d,d,96,0,
131,u,u,96,0,
132,c,c,96,0,
133,t,t,96,0,
134,i,i,96,0,
135,o,o,96,0,
136,n,n,96,0,
137,1,,,1,
138,E,E,96,0,
139,v,v,96,0,
140,e,e,96,0,
141,r,r,96,0,
142,y,y,96,0,
143,c,c,96,0,
144,o,o,96,0,
145,m,m,96,0,
146,p,p,96,0,
147,a,a,96,0,
148,n,n,96,0,
149,y,y,96,0,
150,i,i,94,0,
151,n,n,94,0,
152,c,c,94,0,
153,o,o,94,0,
154,r,r,94,0,
155,p,p,94,0,
156,o,o,94,0,
157,r,r,94,0,
158,a,a,94,0,
159,t,t,94,0,
160,e,e,94,0,
161,d,d,94,0,
162,i,i,95,0,
163,n,n,95,0,
164,H,H,96,0,
165,o,o,96,0,
166,n,n,96,0,
167,g,g,96,0,
168,K,K,96,0,
169,o,o,96,0,
170,n,n,96,0,
171,g,g,96,0,
172,m,m,96,0,
173,u,u,96,0,
174,s,s,96,0,
175,t,t,96,0,
176,h,h,96,0,
177,a,a,96,0,
178,v,v,96,0,
179,e,e,96,0,
180,a,a,96,0,
181,r,r,96,0,
182,e,e,96,0,
183,g,g,96,0,
184,i,i,96,0,
185,s,s,96,0,
186,t,t,96,0,
187,e,e,96,0,
188,r,r,96,0,
189,e,e,96,0,
190,d,d,96,0,
191,o,o,96,0,
192,f,f,96,0,
193,f,f,96,0,
194,i,i,96,0,
195,c,c,96,0,
196,e,e,96,0,
197,i,i,96,0,
198,n,n,96,0,
199,H,H,96,0,
200,o,o,96,0,
201,n,n,96,0,
202,g,g,96,0,
203,K,K,96,0,
204,o,o,96,0,
205,n,n,96,0,
206,g,g,96,0,
207,t,t,96,0,
208,o,o,96,0,
209,w,w,96,0,
210,h,h,96,0,
211,i,i,96,0,
212,c,c,96,0,
213,h,h,96,0,
214,a,a,96,0,
215,l,l,96,0,
216,l,l,96,0,
217,c,c,96,0,
218,o,o,96,0,
219,m,m,96,0,
220,m,m,96,0,
221,u,u,96,0,
222,n,n,96,0,
223,i,i,96,0,
224,c,c,96,0,
225,a,a,96,0,
226,t,t,96,0,
227,i,i,96,0,
228,o,o,96,0,
229,n,n,96,0,
230,s,s,96,0,
231,a,a,96,0,
232,n,n,96,0,
233,d,d,96,0,
234,n,n,96,0,
235,o,o,96,0,
236,t,t,96,0,
237,i,i,96,0,
238,c,c,96,0,
239,e,e,96,0,
240,s,s,96,0,
241,m,m,96,0,
242,a,a,96,0,
243,y,y,96,0,
244,b,b,96,0,
245,e,e,96,0,
246,a,a,88,0,
247,d,d,88,0,
248,d,d,88,0,
249,r,r,88,0,
250,e,e,88,0,
251,s,s,88,0,
252,s,s,88,0,
253,e,e,88,0,
254,d,d,88,0,
255,I,I,83,0,
256,f,f,83,0,
257,t,t,96,0,
258,h,h,96,0,
259,e,e,96,0,
260,a,a,96,0,
261,d,d,96,0,
262,d,d,96,0,
263,r,r,96,0,
264,e,e,96,0,
265,s,s,96,0,
266,s,s,96,0,
267,o,o,96,0,
268,f,f,96,0,
269,a,a,96,0,
270,c,c,96,0,
271,o,o,96,0,
272,m,m,96,0,
273,p,p,96,0,
274,a,a,96,0,
275,n,n,96,0,
276,y,y,96,0,
277,s,s,96,0,
278,r,r,96,0,
279,e,e,96,0,
280,g,g,96,0,
281,i,i,96,0,
282,s,s,96,0,
283,t,t,96,0,
284,e,e,96,0,
285,r,r,96,0,
286,e,e,96,0,
287,d,d,96,0,
288,o,o,96,0,
289,f,f,96,0,
290,f,f,96,0,
291,i,i,96,0,
292,c,c,96,0,
293,e,e,96,0,
294,i,i,96,0,
295,s,s,96,0,
296,c,c,96,0,
297,h,h,96,0,
298,a,a,96,0,
299,n,n,96,0,
300,g,g,96,0,
301,e,e,96,0,
302,d,d,96,0,
303,",",",",96,0,
304,t,t,96,0,
305,h,h,96,0,
306,e,e,96,0,
307,c,c,96,0,
308,o,o,96,0,
309,m,m,96,0,
310,p,p,96,0,
311,a,a,96,0,
312,n,n,96,0,
313,y,y,96,0,
314,m,m,96,0,
315,u,u,96,0,
316,s,s,96,0,
317,t,t,96,0,
318,d,d,96,0,
319,e,e,96,0,
320,l,l,96,0,
321,i,i,96,0,
322,v,v,96,0,
323,e,e,96,0,
324,r,r,96,0,
325,t,t,96,0,
326,o,o,96,0,
327,t,t,96,0,
328,h,h,96,0,
329,e,e,96,0,
330,R,R,96,0,
331,e,e,96,0,
332,g,g,96,0,
333,i,i,96,0,
334,s,s,96,0,
335,t,t,96,0,
336,r,r,96,0,
337,a,a,96,0,
338,r,r,96,0,
339,o,o,96,0,
340,f,f,96,0,
341,C,C,96,0,
342,o,o,96,0,
343,m,m,96,0,
344,p,p,96,0,
345,a,a,96,0,
346,n,n,96,0,
347,i,i,96,0,
348,e,e,96,0,
349,s,s,96,0,
350,(,(,96,0,
351,t,t,96,0,
352,h,h,96,0,
353,e,e,96,0,
354,R,R,96,0,
355,e,e,96,0,
356,g,g,96,0,
357,i,i,96,0,
358,s,s,96,0,
359,t,t,96,0,
360,r,r,96,0,
361,a,a,96,0,
362,r,r,96,0,
363,),),96,0,
364,a,a,96,0,
365,n,n,96,0,
366,o,o,96,0,
367,t,t,96,0,
368,i,i,96,0,
369,c,c,96,0,
370,e,e,96,0,
371,o,o,97,0,
372,f,f,97,0,
373,c,c,96,0,
374,h,h,96,0,
375,a,a,96,0,
376,n,n,96,0,
377,g,g,96,0,
378,e,e,96,0,
379,i,i,96,0,
380,n,n,96,0,
381,t,t,96,0,
382,h,h,96,0,
383,i,i,96,0,
384,s,s,96,0,
385,f,f,95,0,
386,o,o,95,0,
387,r,r,95,0,
388,m,m,95,0,
389,w,w,95,0,
390,i,i,95,0,
391,t,t,95,0,
392,h,h,95,0,
393,i,i,95,0,
394,n,n,95,0,
395,1,1,96,0,
396,5,5,96,0,
397,d,d,96,0,
398,a,a,96,0,
399,y,y,96,0,
400,s,s,96,0,
401,a,a,96,0,
402,f,f,96,0,
403,t,t,96,0,
404,e,e,96,0,
405,r,r,96,0,
406,t,t,96,0,
407,h,h,96,0,
408,e,e,96,0,
409,c,c,96,0,
410,h,h,96,0,
411,a,a,96,0,
412,n,n,96,0,
413,g,g,96,0,
414,e,e,96,0,
415,2,,,1,
416,P,P,96,0,
417,l,l,96,0,
418,e,e,96,0,
419,a,a,96,0,
420,s,s,96,0,
421,e,e,96,0,
422,f,f,96,0,
423,i,i,96,0,
424,l,l,96,0,
425,l,l,96,0,
426,i,i,96,0,
427,n,n,96,0,
428,a,a,96,0,
429,l,l,96,0,
430,l,l,96,0,
431,p,p,96,0,
432,a,a,96,0,
433,r,r,96,0,
434,t,t,96,0,
435,i,i,96,0,
436,c,c,96,0,
437,u,u,96,0,
438,l,l,96,0,
439,a,a,96,0,
440,r,r,96,0,
441,s,s,96,0,
442,a,a,96,0,
443,n,n,96,0,
444,d,d,96,0,
445,c,c,96,0,
446,o,o,96,0,
447,m,m,96,0,
448,p,p,96,0,
449,l,l,96,0,
450,e,e,96,0,
451,t,t,96,0,
452,e,e,96,0,
453,a,a,96,0,
454,l,l,96,0,
455,l,l,96,0,
456,i,i,96,0,
457,t,t,96,0,
458,e,e,96,0,
459,m,m,96,0,
460,s,s,96,0,
461,c,c,95,0,
462,o,o,95,0,
463,n,n,95,0,
464,s,s,95,0,
465,i,i,95,0,
466,s,s,95,0,
467,t,t,95,0,
468,e,e,95,0,
469,n,n,95,0,
470,t,t,95,0,
471,l,l,95,0,
472,y,y,95,0,
473,i,i,96,0,
474,n,n,96,0,
475,e,e,95,0,
476,i,i,95,0,
477,t,t,95,0,
478,h,h,95,0,
479,e,e,95,0,
480,r,r,95,0,
481,C,C,96,0,
482,h,h,96,0,
483,i,i,96,0,
484,n,n,96,0,
485,e,e,96,0,
486,s,s,96,0,
487,e,e,96,0,
488,o,o,96,0,
489,r,r,96,0,
490,E,E,96,0,
491,n,n,96,0,
492,g,g,96,0,
493,l,l,96,0,
494,i,i,96,0,
495,s,s,96,0,
496,h,h,96,0,
497,T,T,96,0,
498,r,r,96,0,
499,a,a,96,0,
500,d,d,96,0,
501,i,i,96,0,
502,t,t,96,0,
503,i,i,96,0,
504,o,o,96,0,
505,n,n,96,0,
506,a,a,96,0,
507,l,l,96,0,
508,C,C,96,0,
509,h,h,96,0,
510,i,i,96,0,
511,n,n,96,0,
512,e,e,96,0,
513,s,s,96,0,
514,e,e,96,0,
515,c,c,96,0,
516,h,h,96,0,
517,a,a,96,0,
518,r,r,96,0,
519,a,a,96,0,
520,c,c,96,0,
521,t,t,96,0,
522,e,e,96,0,
523,r,r,96,0,
524,s,s,96,0,
525,s,s,96,0,
526,h,h,96,0,
527,o,o,96,0,
528,u,u,96,0,
529,l,l,96,0,
530,d,d,96,0,
531,b,b,95,0,
532,e,e,95,0,
533,u,u,95,0,
534,s,s,95,0,
535,e,e,95,0,
536,d,d,95,0,
537,i,i,95,0,
538,f,f,95,0,
539,t,t,96,0,
540,h,h,96,0,
541,e,e,96,0,
542,f,f,96,0,
543,o,o,96,0,
544,r,r,96,0,
545,m,m,96,0,
546,i,i,96,0,
547,s,s,96,0,
548,c,c,96,0,
549,o,o,96,0,
550,m,m,96,0,
551,p,p,96,0,
552,l,l,96,0,
553,e,e,96,0,
554,t,t,96,0,
555,e,e,96,0,
556,d,d,96,0,
557,i,i,96,0,
558,n,n,96,0,
559,C,C,95,0,
560,h,h,95,0,
561,i,i,95,0,
562,n,n,95,0,
563,e,e,95,0,
564,s,s,95,0,
565,e,e,95,0,
566,P,P,95,0,
567,l,l,95,0,
568,e,e,95,0,
569,a,a,95,0,
570,s,s,95,0,
571,e,e,95,0,
572,n,n,96,0,
573,o,o,96,0,
574,t,t,96,0,
575,e,e,96,0,
576,t,t,96,0,
577,h,h,96,0,
578,a,a,96,0,
579,t,t,96,0,
580,h,h,96,0,
581,a,a,96,0,
582,n,n,96,0,
583,d,d,96,0,
584,w,w,96,0,
585,r,r,96,0,
586,i,i,96,0,
587,t,t,96,0,
588,t,t,96,0,
589,e,e,96,0,
590,n,n,96,0,
