,word data,ocr data,conf,check,ocr time
32205,o,o,96,0,
32206,O,O,96,0,
32207,l,l,96,0,
32208,d,d,96,0,
32209,a,a,96,0,
32210,n,n,96,0,
32211,d,d,96,0,
32212,V,V,96,0,
32213,a,a,96,0,
32214,l,l,96,0,
32215,u,u,96,0,
32216,a,a,96,0,
32217,b,b,96,0,
32218,l,l,96,0,
32219,e,e,96,0,
32220,T,T,93,0,
32221,r,r,93,0,
32222,e,e,93,0,
32223,e,e,93,0,
32224,s,s,93,0,
32225,(,(,80,0,
32226,*,*,80,0,
32227,T,T,80,0,
32228,r,r,80,0,
32229,e,e,80,0,
32230,e,e,80,0,
32231,/,/,80,0,
32232,T,T,80,0,
32233,r,r,80,0,
32234,e,e,80,0,
32235,e,e,80,0,
32236,s,s,80,0,
32237,N,N,85,0,
32238,o,o,85,0,
32239,),),85,0,
32240,2,*,85,1,
32241,{,{,95,0,
32242,I,I,95,0,
32243,n,n,95,0,
32244,t,t,95,0,
32245,e,e,95,0,
32246,r,r,95,0,
32247,n,n,95,0,
32248,a,a,95,0,
32249,l,l,95,0,
32250,R,R,94,0,
32251,e,e,94,0,
32252,m,m,94,0,
32253,a,a,94,0,
32254,r,r,94,0,
32255,k,k,94,0,
32256,:,:,94,0,
32257,T,T,96,0,
32258,h,h,96,0,
32259,e,e,96,0,
32260,f,f,96,0,
32261,o,o,96,0,
32262,l,l,96,0,
32263,l,l,96,0,
32264,o,o,96,0,
32265,w,w,96,0,
32266,i,i,96,0,
32267,n,n,96,0,
32268,g,g,96,0,
32269,a,a,96,0,
32270,r,r,96,0,
32271,e,e,96,0,
32272,i,i,96,0,
32273,n,n,96,0,
32274,t,t,96,0,
32275,e,e,96,0,
32276,r,r,96,0,
32277,n,n,96,0,
32278,a,a,96,0,
32279,l,l,96,0,
32280,n,n,96,0,
32281,o,o,96,0,
32282,t,t,96,0,
32283,e,e,96,0,
32284,s,s,96,0,
32285,f,f,96,0,
32286,o,o,96,0,
32287,r,r,96,0,
32288,A,A,75,0,
32289,P,P,75,0,
32290,P,P,75,0,
32291,E,E,75,0,
32292,N,N,75,0,
32293,D,D,75,0,
32294,I,I,75,0,
32295,X,X,75,0,
32296,T,T,75,0,
32297,O,O,75,0,
32298,F,F,96,0,
32299,O,O,96,0,
32300,R,R,96,0,
32301,M,M,96,0,
32302,O,O,96,0,
32303,F,F,96,0,
32304,T,T,96,0,
32305,E,E,96,0,
32306,N,N,96,0,
32307,D,D,96,0,
32308,E,E,96,0,
32309,R,R,96,0,
32310,},},96,0,
32311,*,*,92,0,
32312,D,D,96,0,
32313,e,e,96,0,
32314,l,l,96,0,
32315,e,e,96,0,
32316,t,t,96,0,
32317,e,e,96,0,
32318,o,o,96,0,
32319,r,r,96,0,
32320,m,m,96,0,
32321,o,o,96,0,
32322,d,d,96,0,
32323,i,i,96,0,
32324,f,f,96,0,
32325,y,y,96,0,
32326,a,a,96,0,
32327,s,s,96,0,
32328,a,a,96,0,
32329,p,p,96,0,
32330,p,p,96,0,
32331,r,r,96,0,
32332,o,o,96,0,
32333,p,p,96,0,
32334,r,r,96,0,
32335,i,i,96,0,
32336,a,a,96,0,
32337,t,t,96,0,
32338,e,e,96,0,
32339,1,1,92,0,
32340,U,U,96,0,
32341,s,s,96,0,
32342,e,e,96,0,
32343,w,w,96,0,
32344,h,h,96,0,
32345,e,e,96,0,
32346,n,n,96,0,
32347,a,a,96,0,
32348,s,s,96,0,
32349,e,e,96,0,
32350,p,p,96,0,
32351,a,a,96,0,
32352,r,r,96,0,
32353,a,a,96,0,
32354,t,t,96,0,
32355,e,e,96,0,
32356,S,S,96,0,
32357,e,e,96,0,
32358,c,c,96,0,
32359,t,t,96,0,
32360,i,i,96,0,
32361,o,o,96,0,
32362,n,n,96,0,
32363,o,o,96,0,
32364,f,f,96,0,
32365,t,t,96,0,
32366,h,h,96,0,
32367,e,e,96,0,
32368,W,W,96,0,
32369,o,o,96,0,
32370,r,r,96,0,
32371,k,k,96,0,
32372,s,s,96,0,
32373,(,(,96,0,
32374,S,S,96,0,
32375,e,e,96,0,
32376,c,c,96,0,
32377,t,t,96,0,
32378,i,i,96,0,
32379,o,o,96,0,
32380,n,n,96,0,
32381,x,x,96,0,
32382,x,x,96,0,
32383,),),96,0,
32384,i,i,96,0,
32385,s,s,96,0,
32386,g,g,96,0,
32387,i,i,96,0,
32388,v,v,96,0,
32389,e,e,96,0,
32390,n,n,96,0,
32391,f,f,96,0,
32392,o,o,96,0,
32393,r,r,96,0,
32394,p,p,96,0,
32395,r,r,96,0,
32396,e,e,96,0,
32397,s,s,96,0,
32398,e,e,96,0,
32399,r,r,96,0,
32400,v,v,96,0,
32401,a,a,96,0,
32402,t,t,96,0,
32403,i,i,96,0,
32404,o,o,96,0,
32405,n,n,96,0,
32406,a,a,97,0,
32407,n,n,97,0,
32408,d,d,97,0,
32409,p,p,96,0,
32410,r,r,96,0,
32411,o,o,96,0,
32412,t,t,96,0,
32413,e,e,96,0,
32414,c,c,96,0,
32415,t,t,96,0,
32416,i,i,96,0,
32417,o,o,96,0,
32418,n,n,96,0,
32419,t,t,97,0,
32420,o,o,97,0,
32421,e,e,96,0,
32422,x,x,96,0,
32423,i,i,96,0,
32424,s,s,96,0,
32425,t,t,96,0,
32426,i,i,96,0,
32427,n,n,96,0,
32428,g,g,96,0,
32429,t,t,96,0,
32430,r,r,96,0,
32431,e,e,96,0,
32432,e,e,96,0,
32433,s,s,96,0,
32434,T,T,96,0,
32435,h,h,96,0,
32436,e,e,96,0,
32437,s,s,96,0,
32438,c,c,96,0,
32439,o,o,96,0,
32440,p,p,96,0,
32441,e,e,96,0,
32442,o,o,96,0,
32443,f,f,96,0,
32444,S,S,96,0,
32445,e,e,96,0,
32446,c,c,96,0,
32447,t,t,96,0,
32448,i,i,96,0,
32449,o,o,96,0,
32450,n,n,96,0,
32451,x,x,96,0,
32452,x,x,96,0,
32453,i,i,96,0,
32454,s,s,96,0,
32455,d,d,96,0,
32456,e,e,96,0,
32457,s,s,96,0,
32458,c,c,96,0,
32459,r,r,96,0,
32460,i,i,96,0,
32461,b,b,96,0,
32462,e,e,96,0,
32463,d,d,96,0,
32464,i,i,96,0,
32465,n,n,96,0,
32466,t,t,96,0,
32467,h,h,96,0,
32468,e,e,96,0,
32469,P,P,96,0,
32470,a,a,96,0,
32471,r,r,96,0,
32472,t,t,96,0,
32473,i,i,96,0,
32474,c,c,96,0,
32475,u,u,96,0,
32476,l,l,96,0,
32477,a,a,96,0,
32478,r,r,96,0,
32479,S,S,96,0,
32480,p,p,96,0,
32481,e,e,96,0,
32482,c,c,96,0,
32483,i,i,96,0,
32484,f,f,96,0,
32485,i,i,96,0,
32486,c,c,96,0,
32487,a,a,96,0,
32488,t,t,96,0,
32489,i,i,96,0,
32490,o,o,96,0,
32491,n,n,96,0,
32492,2,,,1,
32493,T,T,96,0,
32494,h,h,96,0,
32495,e,e,96,0,
32496,P,P,96,0,
32497,e,e,96,0,
32498,r,r,96,0,
32499,i,i,96,0,
32500,o,o,96,0,
32501,d,d,96,0,
32502,f,f,96,0,
32503,o,o,96,0,
32504,r,r,96,0,
32505,A,A,96,0,
32506,f,f,96,0,
32507,t,t,96,0,
32508,e,e,96,0,
32509,r,r,96,0,
32510,c,c,96,0,
32511,a,a,96,0,
32512,r,r,96,0,
32513,e,e,96,0,
32514,t,t,96,0,
32515,o,o,96,0,
32516,O,O,95,0,
32517,l,l,95,0,
32518,d,d,95,0,
32519,a,a,95,0,
32520,n,n,95,0,
32521,d,d,95,0,
32522,V,V,97,0,
32523,a,a,97,0,
32524,l,l,97,0,
32525,u,u,97,0,
32526,a,a,97,0,
32527,b,b,97,0,
32528,l,l,97,0,
32529,e,e,97,0,
32530,T,T,96,0,
32531,r,r,96,0,
32532,e,e,96,0,
32533,e,e,96,0,
32534,s,s,96,0,
32535,t,t,96,0,
32536,o,o,96,0,
32537,g,g,96,0,
32538,e,e,96,0,
32539,t,t,96,0,
32540,h,h,96,0,
32541,e,e,96,0,
32542,r,r,96,0,
32543,w,w,96,0,
32544,i,i,96,0,
32545,t,t,96,0,
32546,h,h,96,0,
32547,i,i,96,0,
32548,t,t,96,0,
32549,s,s,96,0,
32550,s,s,93,0,
32551,u,u,93,0,
32552,b,b,93,0,
32553,s,s,93,0,
32554,e,e,93,0,
32555,q,q,93,0,
32556,u,u,93,0,
32557,e,e,93,0,
32558,n,n,93,0,
32559,t,t,93,0,
32560,M,M,96,0,
32561,a,a,96,0,
32562,i,i,96,0,
32563,n,n,96,0,
32564,t,t,96,0,
32565,e,e,96,0,
32566,n,n,96,0,
32567,a,a,96,0,
32568,n,n,96,0,
32569,c,c,96,0,
32570,e,e,96,0,
32571,P,P,96,0,
32572,e,e,96,0,
32573,r,r,96,0,
32574,i,i,96,0,
32575,o,o,96,0,
32576,d,d,96,0,
32577,s,s,97,0,
32578,h,h,97,0,
32579,o,o,97,0,
32580,u,u,97,0,
32581,l,l,97,0,
32582,d,d,97,0,
32583,p,p,96,0,
32584,r,r,96,0,
32585,e,e,96,0,
32586,f,f,96,0,
32587,e,e,96,0,
32588,r,r,96,0,
32589,a,a,96,0,
32590,b,b,96,0,
32591,l,l,96,0,
32592,y,y,96,0,
32593,e,e,96,0,
32594,n,n,96,0,
32595,d,d,96,0,
32596,o,o,96,0,
32597,n,n,96,0,
32598,t,t,96,0,
32599,h,h,96,0,
32600,e,e,96,0,
32601,s,s,96,0,
32602,a,a,96,0,
32603,m,m,96,0,
32604,e,e,96,0,
32605,d,d,96,0,
32606,a,a,96,0,
32607,t,t,96,0,
32608,e,e,96,0,
32609,a,a,97,0,
32610,s,s,97,0,
32611,t,t,96,0,
32612,h,h,96,0,
32613,e,e,96,0,
32614,M,M,96,0,
32615,a,a,96,0,
32616,i,i,96,0,
32617,n,n,96,0,
32618,t,t,96,0,
32619,e,e,96,0,
32620,n,n,96,0,
32621,a,a,96,0,
32622,n,n,96,0,
32623,c,c,96,0,
32624,e,e,96,0,
32625,P,P,96,0,
32626,e,e,96,0,
32627,r,r,96,0,
32628,i,i,96,0,
32629,o,o,96,0,
32630,d,d,96,0,
32631,f,f,96,0,
32632,o,o,96,0,
32633,r,r,96,0,
32634,t,t,96,0,
32635,h,h,96,0,
32636,e,e,96,0,
32637,W,W,96,0,
32638,o,o,96,0,
32639,r,r,96,0,
32640,k,k,96,0,
32641,s,s,96,0,
32642,",",",",96,0,
32643,o,o,96,0,
32644,r,r,96,0,
32645,i,i,96,0,
32646,f,f,96,0,
32647,t,t,96,0,
32648,h,h,96,0,
32649,e,e,96,0,
32650,r,r,96,0,
32651,e,e,96,0,
32652,i,i,96,0,
32653,s,s,96,0,
